Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	6.83106e+06	7.00494e+06	7.10039e+06	6.89452e+06	7.02348e+06	7.0111e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.08255e+06	838881	808714	1.07798e+06	1.05389e+06	834157
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase		332015	192160	433419	236909	273366
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.17093e+07	1.72624e+07	1.92996e+07	7.95269e+06	2.07605e+07	1.9079e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	601889	452295	513668	662603	611054	476847
A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	1.97959e+06	2.60379e+06	2.35145e+06	2.55272e+06	2.26088e+06	2.33012e+06
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	403166	422213	297619	416492		
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.47047e+08	1.45032e+08	1.2025e+08	1.37392e+08	1.19602e+08	1.2159e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	330044	350261	331761	466318	351558	362786
A8WHP8	PLIN1_CAEEL	plin-1	Perilipin-1 homolog	5.97624e+06	5.98572e+06	6.19832e+06	7.24234e+06	7.75326e+06	7.12666e+06
A8WHT1	TRM5_CAEEL	C53A5.17	tRNA (guanine(37)-N1)-methyltransferase		1.00459e+06	812455		884348	732003
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	134161	103758		78756.3		
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	5.47297e+06	5.68557e+06	5.54976e+06	5.67684e+06	5.52284e+06	5.14189e+06
B1V8A0	SH3GH_CAEEL	unc-57	Endophilin-A homolog	3.81264e+06	3.6391e+06	4.61704e+06	4.5342e+06	5.37385e+06	5.57129e+06
B2D6K9	PPH6R_CAEEL	saps-1	Serine/threonine-protein phosphatase 6 regulatory subunit	837197	891014	872825	1.07302e+06	1.08754e+06	973955
B2D6M2	LIN61_CAEEL	lin-61	Protein lin-61				818079		
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	748658	617285	565383	1.01911e+06	908198	678660
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.70511e+06	1.84313e+06	2.15339e+06	1.98563e+06	1.61642e+06	1.7517e+06
C0HKD6	SYWM_CAEEL	wars-2	Tryptophan--tRNA ligase, mitochondrial	432929		592702	585656	822058	561585
C0HLB3;C0HLB4	VATL2_CAEEL;VATL3_CAEEL	vha-2;vha-3	V-type proton ATPase 16 kDa proteolipid subunit 2	5.76027e+06	6.2312e+06	5.39861e+06	7.63188e+06	8.22663e+06	7.66842e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	3.2654e+06	3.16995e+06		2.4543e+06	2.77604e+06	4.11812e+06
C6KRN1	SAO1_CAEEL	sao-1	Suppressor of aph-1	3.39536e+06	2.87122e+06	2.93633e+06	4.47712e+06	4.05885e+06	4.29243e+06
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	6.00963e+07	6.11995e+07	5.6373e+07	5.88298e+07	6.10336e+07	5.38682e+07
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	7.28542e+06	1.29599e+07	8.96278e+06	1.28365e+07	1.3041e+07	7.43143e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.47475e+07	9.83267e+07	9.82118e+07	9.45378e+07	9.80143e+07	1.02147e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.24943e+07	1.17999e+07	1.20719e+07	1.13643e+07	1.08815e+07	1.08318e+07
G4RT11	CDC26_CAEEL	cdc-26	Anaphase-promoting complex subunit CDC26	1.0606e+06	1.01186e+06	995083	1.0629e+06	1.36499e+06	1.30082e+06
G4SLH0	TTN1_CAEEL	ttn-1	Titin homolog	5.97617e+06	6.42886e+06	6.73035e+06	7.21728e+06	7.72102e+06	7.81705e+06
G5EBU3	MMPC_CAEEL	zmp-3	Matrix metalloproteinase-C			450148	348485	469224	533788
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	945636	1.02825e+06	1.25946e+06	1.11523e+06	1.24487e+06	1.29532e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2		323381		388014	413083	350415
G5EC32	SRBS1_CAEEL	sorb-1	Sorbin and SH3 domain-containing protein 1 homolog		394096		471831		
G5EC86	MOE1_CAEEL	oma-1	CCCH-type zinc finger protein oma-1				468438	762712	
G5ECM9	CPI2_CAEEL	cpi-2	Cystatin cpi-2	1.62926e+07	1.7903e+07	1.75206e+07	2.28942e+07	2.29079e+07	2.28914e+07
G5ECN9	NEC2_CAEEL	egl-3	Neuroendocrine convertase 2	2.16978e+06	1.90153e+06	2.04658e+06	2.16355e+06	2.26682e+06	2.21186e+06
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.0811e+07	1.13672e+07	9.58839e+06	1.24007e+07	1.19664e+07	1.11754e+07
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	6.27782e+06	6.18623e+06	6.35098e+06	7.90141e+06	8.1634e+06	8.13515e+06
G5ED29	ATX2_CAEEL	atx-2	Ataxin-2 homolog	3.25707e+06	3.16173e+06	4.23075e+06	4.71129e+06	5.05765e+06	4.94397e+06
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	4.76921e+06	4.98484e+06	4.9742e+06	6.23152e+06	5.68492e+06	6.17175e+06
G5EDM4	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.30234e+07	1.30637e+07	1.28028e+07	1.58498e+07	1.62869e+07	1.5867e+07
G5EDN6	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	3.13078e+06	2.53328e+06	3.13532e+06	3.26854e+06	3.17913e+06	2.84405e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.1691e+07	1.26344e+07	1.24301e+07	1.53089e+07	1.459e+07	1.47586e+07
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.00093e+06	3.95389e+06	4.01765e+06	4.73263e+06	4.45418e+06	4.99682e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	4.0982e+06	3.8923e+06	3.85579e+06	5.14345e+06	5.22388e+06	4.93799e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.2668e+07	1.29229e+07	1.21434e+07	1.4831e+07	1.72543e+07	1.71698e+07
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	310246	372226	349385	429087	506329	497279
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	789370	935057	736672	1.10587e+06	941239	1.08167e+06
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	1.36587e+06	1.79638e+06	1.83684e+06	2.03911e+06	1.93377e+06	2.14451e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	5.76497e+07	5.80713e+07	5.61997e+07	6.71107e+07	6.92324e+07	7.08861e+07
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.15496e+06	951066	1.01823e+06	1.2685e+06	1.15448e+06	1.9153e+06
G5EEM6	TAB1_CAEEL	tap-1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	540729	637648		705970	574777	552420
G5EEN4	GCK3_CAEEL	gck-3	Germinal center kinase 3	1.51816e+06			1.7709e+06		1.62944e+06
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	753795	569774	546199	804899	676124	834676
G5EES6	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	2.68023e+06	2.88409e+06	2.86924e+06	3.56258e+06	3.61805e+06	3.48875e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	795463	915678	1.40448e+06	1.4703e+06	1.50826e+06	1.66939e+06
G5EFF1	ASD2_CAEEL	asd-2	RNA-binding protein asd-2	854603	995169		1.50683e+06	1.26891e+06	1.33355e+06
G5EFF7	UBQL_CAEEL	ubql-1	Ubiquilin	9.71283e+06	9.16484e+06	8.79708e+06	1.20017e+07	1.22428e+07	1.17197e+07
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	2.15077e+06	1.72201e+06	2.28529e+06	3.16426e+06	3.10895e+06	2.13477e+06
G5EFT4	AMP1_CAEEL	ltah-1.1	Aminopeptidase ltah-1.1	1.16332e+06	1.20045e+06	1.36274e+06	1.45198e+06	1.37712e+06	1.358e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.65077e+07	1.64358e+07	1.66173e+07	2.05598e+07	1.9728e+07	2.03027e+07
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	2.71804e+06	2.70893e+06	3.28368e+06	2.85432e+06	3.63476e+06	3.87707e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	4.92828e+06	6.14507e+06	4.97619e+06	7.93685e+06	7.20777e+06	7.65934e+06
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	5.27315e+06	4.83655e+06	5.27276e+06	6.26861e+06	6.0869e+06	6.15875e+06
G5EGI7	ZIG1_CAEEL	zig-1	Zwei Ig domain protein zig-1	1.51409e+06	1.55456e+06	1.74147e+06	1.76653e+06	1.71522e+06	1.97632e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	3.84925e+07	3.45773e+07	3.19946e+07	3.86101e+07	4.04222e+07	3.45627e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	2.5094e+06	2.49761e+06	2.36846e+06	3.67502e+06	2.79139e+06	2.72135e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	2.18518e+07	2.42912e+07	1.8466e+07	2.43762e+07	2.51472e+07	2.36087e+07
H0YM25	GG6LV_HUMAN	GOLGA6L22	Golgin subfamily A member 6-like protein 22	1.27716e+07	1.33283e+07	1.43336e+07	1.81984e+07	1.70305e+07	1.67311e+07
H1UBK1	MAP2_CAEEL	map-2	Methionine aminopeptidase 2	8.15691e+06	7.90112e+06	8.34313e+06	1.00719e+07	1.09131e+07	1.03964e+07
H2KYE0	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	3.61252e+06	3.68207e+06	3.51991e+06	4.56639e+06	4.58188e+06	4.52688e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	8.89917e+06	7.48109e+06	7.69851e+06	1.31736e+07	1.22417e+07	1.03527e+07
H2KYS8	CPNA1_CAEEL	cpna-1	Copine family protein 1	966689	1.05588e+06	975842	1.25965e+06	1.39392e+06	1.24401e+06
H2L045	TENSH_CAEEL	tns-1	Tensin homolog	357168	329183	268026	372809	343679	384088
H2L056	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.57367e+06	1.19759e+06	1.1595e+06	1.5317e+06	1.61256e+06	1.37138e+06
K8ESC5	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	608014	731755	597010	928011	688874	898397
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4.15463e+06	4.70613e+06	4.99409e+06	4.41138e+06	3.97373e+06	3.58367e+06
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein		1.67927e+06	1.58663e+06		1.49149e+06	
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4.86185e+06	5.2808e+06	5.01947e+06	5.49788e+06	5.41969e+06	5.48958e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.43682e+07	1.43154e+07	1.37823e+07	1.34595e+07	1.42896e+07	1.39737e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	4.62915e+06	4.49997e+06	4.02031e+06	4.372e+06	4.00562e+06	3.76168e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.14845e+07	5.12931e+07	5.14261e+07	4.96939e+07	5.2929e+07	5.41321e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.50214e+06	8.55704e+06	8.75679e+06	8.97375e+06	8.40911e+06	8.28154e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	8.87728e+06	9.99922e+06	1.08098e+07	1.62605e+07	1.00125e+07	9.58252e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	7.68575e+06	7.9391e+06	7.40393e+06	7.65615e+06	7.48543e+06	6.98451e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4.60342e+06	4.49232e+06	4.23351e+06	4.27117e+06	4.32454e+06	4.40468e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.63498e+06	1.6818e+06	1.54337e+06	1.54907e+06	1.23899e+06	1.39757e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.68859e+07	2.60098e+07	2.53475e+07	2.40063e+07	2.4719e+07	2.47857e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.36367e+06	3.49995e+06	3.52773e+06	3.53532e+06	3.45185e+06	3.21329e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.07023e+06	1.36772e+06			1.34431e+06	1.27856e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	8.72694e+06	8.01934e+06	7.99635e+06	7.64662e+06	7.07079e+06	8.1041e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.25236e+07	6.70794e+07	6.91185e+07	6.09861e+07	6.06508e+07	6.97785e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.01467e+06	1.22302e+06	965284	1.01218e+06	1.13961e+06	1.04387e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	5.9163e+06	6.89436e+06	6.26705e+06	5.73246e+06	5.40437e+06	6.92145e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.20335e+07	1.34877e+07	1.17313e+07	1.20173e+07	1.29213e+07	1.23591e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.6938e+07	2.04079e+07	2.11199e+07	1.96645e+07	1.98879e+07	1.89498e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.61222e+07	1.68744e+07	1.61021e+07	1.5506e+07	1.56918e+07	1.69083e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8.08894e+06	7.5781e+06	8.96902e+06	8.24975e+06	8.6889e+06	7.00861e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.07406e+07	1.09392e+07	1.08271e+07	9.73968e+06	9.91128e+06	1.052e+07
O00255	MEN1_HUMAN	MEN1	Menin	1.18935e+06	1.25726e+06	1.29668e+06	1.13882e+06	1.1877e+06	1.05382e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	1.21545e+07	1.26402e+07	1.18466e+07	1.29988e+07	1.00894e+07	1.29851e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.74819e+07	3.61347e+07	3.71124e+07	3.4802e+07	3.5575e+07	3.33432e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.02086e+07	1.04368e+07	1.05096e+07	9.97836e+06	1.02009e+07	1.04016e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	899986	653286	918281	831678	810913	1.02179e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	8.88192e+06	9.23611e+06	1.00711e+07	9.1397e+06	9.41586e+06	9.21669e+06
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	441528	404704	514415	467446		340295
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	465575		459838	509655	388380	
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.549e+08	1.48562e+08	1.51109e+08	1.47423e+08	1.42111e+08	1.53506e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2.24851e+07	2.19814e+07	2.2113e+07	2.27088e+07	2.19789e+07	2.17589e+07
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	6.99712e+06	7.38162e+06	6.92379e+06	6.44975e+06	8.27192e+06	6.9846e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	8.19797e+06	8.40967e+06	8.72182e+06	8.34394e+06	8.12966e+06	8.83055e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2.53697e+06	3.00168e+06	2.93704e+06	2.26733e+06	2.3904e+06	3.17513e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	1.39145e+06	1.19444e+06	1.248e+06	1.31646e+06	1.21238e+06	1.15778e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein		4.1631e+06	3.92327e+06	3.2723e+06	2.94828e+06	3.28801e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.59057e+07	2.62451e+07	2.66876e+07	2.6741e+07	2.63116e+07	2.69817e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	1.21417e+06	1.1903e+06	1.09578e+06	923716	1.1049e+06	992314
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2.98554e+06	2.84732e+06	3.02939e+06	3.2142e+06	2.9371e+06	2.98139e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	8.01086e+07	7.14084e+07	7.32143e+07	8.09223e+07	7.6773e+07	7.96367e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.75577e+07	3.72339e+07	3.75868e+07	3.59822e+07	3.66847e+07	3.70807e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.50235e+07	1.49466e+07	1.50655e+07	1.35112e+07	1.43789e+07	1.43501e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	3.4831e+06	3.35194e+06	3.63504e+06	3.84905e+06	3.66095e+06	3.90161e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	934960	991001	889540	1.01671e+06	890370	962728
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.43211e+06	1.15954e+06	1.61737e+06	1.26517e+06	1.24789e+06	1.31309e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	465202	710628	574692	624801	546305	555452
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.81115e+06	1.91097e+06	1.50991e+06	1.63322e+06	1.64653e+06	1.79055e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	190274	172927		139076	153971	
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	6.2887e+06	6.00658e+06	6.50536e+06	6.93841e+06	6.47208e+06	5.81161e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	980521	1.08188e+06	758218	1.13912e+06	1.14923e+06	1.03344e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	5.52102e+06	7.30941e+06	6.89844e+06	6.96088e+06	7.23459e+06	6.85116e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.23833e+07	3.61687e+07	4.11921e+07	4.34673e+07	4.02719e+07	3.49673e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2.90504e+07	2.4053e+07	2.89891e+07	2.80911e+07	2.85931e+07	2.7578e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.01535e+06	1.08719e+06	986684	1.72205e+06		1.32142e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3.76898e+06	3.99104e+06	3.23588e+06	3.27791e+06	3.67249e+06	3.6943e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.08444e+06	2.64891e+06	2.29967e+06	2.308e+06	2.70189e+06	2.64135e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.32826e+07	1.3411e+07	1.38311e+07	1.33688e+07	1.25788e+07	1.27582e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.58139e+06	2.33881e+06	2.85879e+06	2.76803e+06	2.52991e+06	2.7003e+06
