Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
B2MZA9;Q10923;Q95QZ3;Q95QZ4				1.1634e+06
B3CJ34				9.79338e+06
B3GWA1				3.30302e+06
B3WFT8				4.32504e+06
B3WFV9;G5EC65;G5EDF4				2.4027e+06
B3WFW9				6.08613e+06
B3WFY7;P90933				1.36824e+06
B4E3X6				2.8458e+06
B5BM23;Q21531;Q7JMF0				8.36434e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		1.05899e+06
B5BM47;Q9XTY7				805323
B5U8N2				1.43694e+06
B6VQ41;Q21020				1.30266e+06
B6VQ59;Q19346				5.92246e+06
B7FAR9;D9PTN8				9.00265e+06
B7FAS8;Q7YTU4;V6CJW5;V6CLA8	ERO1_CAEEL	ero-1		727181
B7WN95				2.13406e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.62519e+06
B9WRS6;H2KYL7;H2KYL8				2.33269e+07
C0P278				930264
C0Z1Y9				1.39012e+06
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		9.37349e+06
C1P629;C6KRJ2;Q18937				3.25163e+06
C1P636;Q27481				1.33113e+07
C2BR91				5.28521e+06
C2BR94;H2L0N5				1.41724e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	3.02484e+06
C5VUK2;Q95PZ0	CSN6_CAEEL	csn-6		1.61396e+06
C6KRI9;Q22847;X5M5W2;X5M900				2.46717e+06
C6KRK8;Q21890	YF64_CAEEL	R102.4		1.80225e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		914308
C7FZU3;C7FZU4;Q93791				4.42689e+06
C9IY21;C9IY22				6.03387e+06
D0IMZ5;U4PR92				1.97037e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.23422e+07
D0VWL6				3.65158e+06
D0VWM8;Q20414	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	2.10832e+06
D0Z5P0				1.36284e+06
D1MN80;Q20184				846474
D3NQA9;Q2YS41				2.38537e+06
D3YT36;D3YT37;Q23539				4.05758e+06
D3YT56				1.2097e+07
D4YWC3				2.25044e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	1.44858e+07
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				1.55375e+07
D7SFI3				8.68724e+06
D9PTP5;D9PTP6				2.91205e+06
E0AHA7;G5EG85				8.00229e+06
E0R7L2				2.41918e+06
E1B6Q7				1.26117e+07
E1B6R3;P34445	YL87_CAEEL	F54C8.7		8.04804e+06
E2JKZ0;L8E938;L8EC32;Q23542				1.58039e+06
E3W741;Q18878				2.21737e+06
E5QCI8;O45666	NHR49_CAEEL	nhr-49		272897
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		1.93931e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.02172e+08
E9RKC7				1.1162e+06
F5GU60;H2KZS0				1.32188e+06
F5GUC7;Q19553				1.18666e+06
G1K0V8;P34563	IF5A1_CAEEL	iff-1		2.58934e+07
G3MU08;Q17424	THIO2_CAEEL	trx-2		4.05669e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.34151e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				485840
G3MU38;Q18785	MIF2_CAEEL	mif-2		2.29919e+06
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		581527
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		8.74008e+07
G3MU88;O18239				1.09755e+07
G4RYA5				1.27324e+06
G4S034				1.17861e+07
G4SF15;Q95XR3				798162
G4SI07				3.16859e+07
G4SL51				1.3653e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		8.12002e+06
G4SPY0;G4SPY1				5.9849e+06
G4SQY7				682541
G4SRS5				884246
G5EBF3				1.6136e+08
G5EBF4				6.3133e+06
G5EBG0				1.33997e+06
G5EBH3;G5EC35;G5EFW3				3.46265e+06
G5EBH7				3.02902e+07
G5EBI0				1.36476e+07
G5EBJ7				2.53157e+07
G5EBJ8				1.02531e+08
G5EBK3				1.42321e+07
G5EBP4;G5EEG8;G5EEP9				5.45973e+06
G5EBP5				2.01379e+07
G5EBR1;Q2V4S2				1.61676e+07
G5EBT3				2.89256e+06
G5EBU8;G5EFT0				702846
G5EBV4				7.66881e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	4.96644e+06
G5EBW5				1.92007e+06
G5EBY3				8.22726e+06
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	795100
G5EC05				292054
G5EC10				2.57802e+07
G5EC23				2.54831e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2	773242
G5EC31				7.69295e+06
G5EC67				1.39206e+06
G5EC71				1.08144e+06
G5EC78;G5EFF7	UBQL_CAEEL	ubql-1		1.07885e+07
G5EC87				4.7655e+06
G5EC91				1.58274e+07
G5EC98				4.89081e+06
G5ECA7				8.72952e+06
G5ECB3;G5ECB4;G5EDB1				3.43777e+06
G5ECC1				692577
G5ECC9				1.89034e+06
G5ECD7;G5EEB3;G5EG29;G5EGT0				290057
G5ECE7				4.84415e+06
G5ECF0;G5EDQ3;G5EFI0;G5EG71				2.75066e+06
G5ECF8				1.14327e+06
G5ECG0	TACC1_CAEEL	tac-1	Transforming acid coiled-coil-containing protein 1	1.53238e+06
G5ECG7				4.93996e+06
G5ECI8;G5EEN1				1.27176e+06
G5ECK7;G5ED34				907618
G5ECL3				2.79703e+06
G5ECM6				2.53401e+07
G5ECP9;G5EEC4;G5EFW2				1.695e+07
G5ECR0				1.17142e+07
G5ECR5;P34461	SODE_CAEEL	sod-4		1.50644e+06
G5ECR7				3.37322e+06
G5ECS4				1.82477e+06
G5ECS9				3.79883e+06
G5ECT6				1.83932e+07
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.53115e+07
G5ECU3;P40614	MPCP_CAEEL	F01G4.6		5.72235e+07
G5ECV9				6.1343e+06
G5ECW7;Q9U3K7				3.71633e+06
G5ECX8;G5EDV6				3.36659e+06
G5ECX9				1.3047e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	1.09841e+07
G5ECZ2;G5EDI2				1.78068e+07
G5ED01				8.10486e+06
G5ED07				7.16788e+07
G5ED08;Q21190	UNC1_CAEEL	unc-1		235954
G5ED17				498114
G5ED27;G5EG33				1.86674e+06
G5ED31;G5EDD1				3.45588e+07
G5ED33;O18250;Q7YTG1				6.00892e+06
G5ED36;O62178				393926
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	2.18084e+07
G5ED75;Q9XU12				1.05449e+06
G5ED95				5.84683e+06
G5ED97				1.85509e+07
G5EDA8;G5EGA2				2.96439e+06
G5EDB7;Q8I4E0				2.62563e+06
G5EDC6				3.81969e+06
G5EDD3;G5EFM4				3.46002e+08
G5EDD4				8.44416e+06
G5EDD8				3.34534e+06
G5EDE8				9.1751e+06
G5EDF5				1.62647e+06
G5EDJ3				1.34608e+06
G5EDJ6				1.54687e+06
G5EDL9;G5EFP2				1.07274e+07
G5EDM4;G5EE55;G5EFP7;X5LQ26;X5LVA5	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.52281e+07
G5EDN6;H9G2Y1	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	1.86005e+06
G5EDP0				1.36339e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.80136e+07
G5EDQ2				1.69744e+07
G5EDQ4;G5EDV5;G5EF89;G5EGA4				2.97882e+06
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.47792e+06
G5EDS2;K8ESK9;K8F7Z0;K8FE00				4.17005e+06
G5EDT4;G5EEP7				1.63004e+06
G5EDT9				1.79504e+06
G5EDV3				1.2675e+07
G5EDV7				2.57827e+06
G5EDW8				9.4669e+06
G5EDY2				6.35552e+06
G5EDY8;Q8WQC9				2.39491e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	4.83925e+06
G5EDZ5;O62305	KCC2D_CAEEL	unc-43		7.26423e+06
G5EDZ7				2.01792e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	8.82025e+06
G5EE04				1.32721e+07
G5EE09;Q8I4B4;Q9U1P4				2.31331e+06
G5EE11				2.74104e+06
G5EE12				2.77265e+06
G5EE41				5.2638e+06
G5EE42				2.67822e+06
G5EE46				8.52325e+06
G5EE67				2.07507e+06
G5EE72	MRP5_CAEEL	mrp-5	Multidrug resistance-associated protein 5	430295
G5EE74				7.105e+06
G5EE80				2.95249e+06
G5EEA2				3.38558e+06
G5EEA8				2.7988e+07
G5EEE5				1.23697e+07
G5EEG4				1.24789e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	831391
G5EEH6				9.50122e+06
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	4.18302e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	6.50319e+07
G5EEJ7				1.08347e+07
G5EEK2				1.86975e+06
G5EEK8				2.16295e+07
G5EEK9				8.62023e+06
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	1.49655e+06
G5EEM6	TAB1_CAEEL	tap-1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	741457
G5EEN7				3.99205e+06
G5EEQ8				1.45116e+06
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	1.19322e+06
G5EER7;G5EG67				1.01869e+06
G5EES3;G5EGR6				981547
G5EES6;G5EFK5	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	3.0502e+06
G5EES9				8.30681e+06
G5EET2				2.29538e+06
G5EET3				2.3504e+06
G5EET8				4.66754e+07
G5EEV5;H2KZS1				7.37048e+06
G5EEZ0				731407
G5EF01				1.91221e+06
G5EF05				2.08941e+06
G5EF32				3.9976e+07
G5EF37				7.74171e+07
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.58585e+06
G5EF84	GIP2_CAEEL	gip-2	Gamma-tubulin interacting protein 2	166167
G5EF86				8.29455e+06
G5EF87;H8ESF3				7.41919e+06
G5EF97				521704
G5EF99				1.76329e+06
G5EFB5				8.7718e+06
G5EFC1				5.2489e+06
G5EFC4				1.09034e+07
G5EFC8				1.40051e+06
G5EFD1				4.81588e+06
G5EFD7				3.54004e+06
G5EFE3				1.40191e+07
G5EFF8;Q304D5				6.37219e+06
G5EFF9;G5EG28				976028
G5EFG4				7.92875e+06
G5EFH0				3.19103e+06
G5EFH8				2.21842e+06
G5EFI4				2.03478e+07
G5EFJ0;G5EGS3				1.13767e+06
G5EFK4				1.09449e+07
G5EFL1				32225.6
G5EFL5				7.64713e+06
G5EFP3				590877
G5EFP4				9.63198e+06
G5EFS2				2.01456e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	7.5677e+06
G5EFS5;Q9N5T2				3.59135e+07
G5EFV4				1.36327e+07
G5EFX8				2.37812e+06
G5EFY6				994482
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.81771e+07
G5EFZ5;G5EG22				2.9062e+06
G5EG13				7.30127e+06
G5EG18				2.16771e+06
G5EG50				1.80541e+06
G5EG58				1.47021e+06
G5EG62				2.37236e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	4.75859e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.58331e+06
G5EGA7				1.09865e+06
G5EGB1				8.27912e+07
G5EGG0;Q2EEM5				610871
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	1.14876e+07
G5EGK1				8.83212e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	5.29373e+06
G5EGL2				1.32297e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	1.16971e+06
G5EGP4				7.09929e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.38177e+07
G5EGS9				115011
G5EGT6;Q9N574				406913
G5EGT7				4.39322e+06
G5EGU1				5.3453e+06
G8JY31;Q21268	YMSO_CAEEL	K07C11.7		2.07055e+06
G8JY38;P05690	VIT2_CAEEL	vit-2		1.12627e+08
G8JY40;P43510;Q8MQC6	CPR6_CAEEL	cpr-6		9.35802e+06
G8JY63;Q19200	STO1_CAEEL	sto-1		567910
G8JY83;P0CG71	UBIQ1_CAEEL	ubq-1		1.61839e+07
G8JY94;Q21067	IFC2_CAEEL	ifc-2		8.12455e+07
G8JYG1;Q9U757	NXT1_CAEEL	nxt-1		4.7674e+06
G8XYY4;O01839	VPS51_CAEEL	vps-51		8.93595e+07
H1ZUV6;O01824	PDXK_CAEEL	pdxk-1		1.4737e+06
H2FLJ1				7.53062e+06
H2FLK8				2.86204e+07
H2FLK9				852749
H2KMJ3				3.70505e+06
H2KMK6				1.95698e+06
H2KY60				3.21967e+06
H2KYB8;H2KYB9				523610
H2KYC4;H2KYC6				7.11914e+06
H2KYC9;Q8MQF7;V6CLC8				3.73603e+06
H2KYD7;Q7YZW5	VEM1_CAEEL	vem-1		2.52119e+06
H2KYE0;Q9UAN9	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	9.98066e+06
H2KYG4;O45137				936701
H2KYH5;Q95QX5				3.83803e+06
H2KYI5;Q86NI2				6.73565e+06
H2KYJ2				4.34098e+06
H2KYJ5				7.25979e+06
H2KYM1				3.5443e+06
H2KYN3				498586
H2KYN5;O16466	ATG18_CAEEL	atg-18		2.40199e+06
H2KYN6				315785
H2KYP1;Q8I7L5				1.45946e+06
H2KYP2;H2KYP4				2.58147e+06
H2KYQ2;H2KYQ3;Q17921				1.91627e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.05581e+07
H2KYR1				5.97681e+07
H2KYS8;Q7JPE2	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.22387e+06
H2KYU6;Q95QZ7	NPL41_CAEEL	npl-4.1	Nuclear protein localization protein 4 homolog 1	4.0767e+06
H2KYV1				8.69986e+06
H2KYV3;Q18076				7.84075e+06
H2KYV8;Q8MNV5				800370
H2KYV9;Q86NJ8				858342
H2KYX9;H2KYY0;U4PRA9				3.81272e+06
H2KYY4;Q95QA6	PAT12_CAEEL	pat-12		1.50479e+07
H2KYY8;H2KYY9;H2KYZ2;Q8MPW4				1.27298e+06
H2KZ18;H2KZ19				3.56331e+06
H2KZ48				1.17367e+06
H2KZ53;Q95QH5				1.46454e+06
H2KZ73;H8W3Y1;Q8T3B7				4.94371e+06
H2KZA2;Q95Q55				2.11584e+06
H2KZA5;Q8ITY8				3.54074e+06
H2KZA6;Q8ITY9				1.24364e+06
H2KZD5;Q27GU1				4.52366e+06
H2KZG6				1.29073e+08
H2KZJ5				8.09804e+06
H2KZK7;Q965K3				2.33505e+06
H2KZL7;Q8IG31				1.09836e+08
H2KZL8;Q09315	5NT3_CAEEL	F25B5.3		609700
H2KZR3;O76566				2.39298e+06
H2KZS4				5.88772e+06
H2KZV5				1.34776e+07
H2KZV8;L8E6X8;Q9GP94;Q9GP96				2.12716e+07
H2KZX4;Q7JP80				2.51087e+06
H2L003;Q3Y409				378074
H2L034				5.60884e+06
H2L045;H2L046	TENSH_CAEEL	tns-1	Tensin homolog	2.21371e+06
H2L048;Q8MQ42				9.23914e+06
H2L056;Q6A589	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.73858e+06
H2L0C0				2.28403e+06
H2L0D5;Q21164				2.83861e+06
H2L0G7;Q9BKS2				3.30597e+06
H2L0I2				1.21565e+07
H2L0M0;Q9GZI3				5.61603e+06
H2L0N0;H2L0N1;O01619;Q95ZK4				654651
H2L0N9				1.18929e+07
H2L0Q1;Q6EZG8				7.90482e+06
H2L0Q6;Q9N3F8				2.66404e+06
H2L2E8;O18688				2.89389e+07
H2L2J5;H2L2J6;O02238				2.13399e+06
H7BZ55	CRCC2_HUMAN	CROCC2	Putative ciliary rootlet coiled-coil protein 2	4.35759e+06
H9G2T4;Q21032				1.01531e+08
H9G2V4;Q20471	KIN20_CAEEL	kin-20		645787
H9G340;H9G341;Q9XTW9				3.76541e+06
I2HA82;Q22267	PLC2_CAEEL	acl-2		973367
I2HA91				680413
I2HA98;P90925	PH4H_CAEEL	pah-1		5.89074e+06
I2HAF6;Q9U1S2				9.70926e+06
I2HAG1;Q09581	LEC3_CAEEL	lec-3		7.10352e+07
I2HAL2;Q94051	CAV1_CAEEL	cav-1		1.98709e+06
K8ERV5				5.83148e+06
K8ES47;Q9NF23				1.03262e+06
K8ESC3				2.51032e+06
K8ESC5;Q9NA30	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	1.16735e+06
K8ESE2;O45391				1.22039e+07
K8ESM2				4.45976e+06
K8FDY0;Q93636				7.82869e+06
K8FE02;Q21605				6.55538e+06
L8E817				2.50623e+06
M1Z854;Q19286	IFB2_CAEEL	ifb-2		8.51829e+07
M1Z882				558337
M1ZJV8;Q95XI7;U4PC16				369277
N1NTN5;Q17971				1.32237e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5.92347e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.60441e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	8.69538e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	2.24844e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8.37286e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.0591e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	7.68958e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4.79314e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.03246e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1.47894e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.32526e+06
O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	1.39766e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	9.19836e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.45082e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1.06011e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	6.96397e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	2.63982e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.91338e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.05218e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9.16095e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.08961e+07
