Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
A5Z2W3;H9G321				7.76684e+06	7.15247e+06	7.38641e+06	9.73182e+06	1.02025e+07	9.14138e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	2.73679e+07	2.67762e+07	2.32357e+07	1.3501e+07	1.15519e+07	1.25479e+07
A6NC78	GOG8I_HUMAN	GOLGA8IP	Putative golgin subfamily A member 8I	4.29808e+06	4.86505e+06	5.21035e+06	4.83652e+06	5.15968e+06	4.9159e+06
A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	245733	201786	202205	184833	136957	213499
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	6.18894e+06	5.49666e+06	5.36644e+06	5.63778e+06	5.25911e+06	5.7066e+06
A6NCN2	KR87P_HUMAN	KRT87P	Putative keratin-87 protein	1.76438e+07	1.71999e+07	1.79657e+07	1.49693e+07	1.65047e+07	1.64947e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8.92545e+06	9.06384e+06	9.92353e+06	8.99033e+06	8.53511e+06	8.47899e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.41851e+06	6.11119e+06	5.68262e+06	5.80723e+06	6.00643e+06	5.65963e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	2.76363e+06	2.9226e+06	2.72638e+06	2.74771e+06	2.84999e+06	2.87058e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	235720	198364	273453	237163	257093	172882
A6NGY5	O51F1_HUMAN	OR51F1	Olfactory receptor 51F1	5.54602e+06	4.46571e+06	4.19924e+06	5.1389e+06	4.9782e+06	3.22301e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4.61839e+06	4.0369e+06	5.4054e+06	4.48286e+06	5.1973e+06	4.3638e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	7.38633e+06	7.61858e+06	7.55529e+06	7.43312e+06	7.83747e+06	7.72978e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2.70714e+06	3.02644e+06	2.3857e+06	3.60041e+06	2.86069e+06	2.42684e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.42507e+06	2.77304e+06	2.81531e+06	2.30321e+06	2.50447e+06	2.36464e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	5.58456e+06	5.85594e+06		4.8518e+06	5.52267e+06	6.01284e+06
A6ZJ46;Q20621;Q8I4I4				1.841e+06	2.12233e+06	1.85527e+06	2.89738e+06	2.79023e+06	2.32787e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	992581	735881	1.00244e+06	1.09306e+06	1.00389e+06	733604
A7DT40				487149	706924		621468	659487	652558
A7DT45				4.99162e+06	5.27035e+06	5.19523e+06	4.65018e+06	4.83518e+06	4.88815e+06
A7DTF0;Q9XWW2				2.08002e+06	1.83038e+06		2.57999e+06	2.77703e+06	1.97625e+06
A7DTF5;Q9U222				3.68551e+06	3.8043e+06	3.88911e+06	5.358e+06	4.71644e+06	4.75476e+06
A7LPE6;P34517;Q7JMU1	GPDH2_CAEEL	gpdh-2		9.10276e+06	9.21691e+06	9.49096e+06	1.20126e+07	1.26849e+07	1.28509e+07
A7LPF3;Q20364				984985	760442	901830	1.21181e+06	1.16727e+06	1.33165e+06
A7LPG5;Q5FC71				5.61025e+06	5.38573e+06	4.835e+06	6.45476e+06	6.09302e+06	7.12675e+06
A7LPI4;Q93616				377574			323829	349896	233064
A7LPJ5				2.99625e+06		2.40835e+06	3.38406e+06		2.79013e+06
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	576340	537754	381578	488369		428072
A8MT70	ZBBX_HUMAN	ZBBX	Zinc finger B-box domain-containing protein 1	5.81155e+06	7.40086e+06		5.74856e+06	6.84373e+06	7.10944e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.41442e+08	1.42786e+08	1.2874e+08	1.3126e+08	1.30171e+08	1.20319e+08
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	551321	517793	344473	569482	458347	455993
A8WHR6;Q19775;Q7JLJ3	PPM1A_CAEEL	ppm-1.A		5.04852e+06	5.38347e+06	4.93073e+06	6.01746e+06	6.24109e+06	6.25757e+06
A9CZN9;Q966L2				1.66682e+06	1.28187e+06	1.18558e+06	2.22032e+06	2.01414e+06	2.08444e+06
A9D0C6				982046	935714	825239	1.27328e+06	1.01956e+06	1.37824e+06
A9D2X7;Q9BKU2;X5LPX5				2.28914e+06	2.57868e+06	1.83516e+06	2.68638e+06	2.45599e+06	2.95332e+06
A9UJN4;H9G2X3;Q17948									810618
A9UJN7				6.14457e+06	6.84161e+06	6.60873e+06	7.31115e+06	7.79238e+06	8.80038e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	5.65166e+06	5.76342e+06	5.60286e+06	5.53162e+06	5.62284e+06	5.49359e+06
B0M0L8;H2KYS1				4.22158e+06	4.5637e+06	5.3391e+06	5.4525e+06	5.86615e+06	5.57322e+06
B1Q254;B1Q255				284299	462713	618503	405443	536075	546036
B1V898						280781	463293	388789	476884
B2D6K7;D4PH96;G5ED29	ATX2_CAEEL	atx-2		3.32646e+06	3.51546e+06	3.82674e+06	4.62066e+06	4.55227e+06	4.55014e+06
B2D6M2	LIN61_CAEEL	lin-61	Protein lin-61				427003		
B2D6P1				4.79363e+06	4.64786e+06	4.89121e+06	6.32476e+06	6.09308e+06	5.82678e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	1.22697e+06	854250	885527	1.36659e+06	1.20356e+06	930457
B3CJ34				3.47257e+06	3.31414e+06	3.43561e+06	4.44584e+06	4.30761e+06	4.20638e+06
B3GWA1				2.32316e+06	2.51146e+06	2.9904e+06	3.20291e+06	3.0325e+06	2.87208e+06
B3GWC0;Q19427	NPY1_CAEEL	ndx-9					358720	276710	278773
B3WFT8				3.77343e+06	3.61462e+06	3.76546e+06	4.42679e+06	4.79575e+06	4.57194e+06
B3WFV9;G5EC65;G5EDF4				2.07599e+06	2.22951e+06	1.93164e+06	2.30892e+06	2.41336e+06	2.78061e+06
B3WFW9				3.89127e+06	4.28531e+06	4.66472e+06	5.7404e+06	5.82845e+06	5.66504e+06
B3WFY7;P90933					585826		819437	874248	886439
B3WFZ3;B3WFZ4				917501	938969	973327	1.39496e+06	1.16516e+06	804905
B4E3X6				2.20942e+06	1.93001e+06	1.7254e+06	2.38055e+06	2.63806e+06	2.39303e+06
B5BM23;Q21531;Q7JMF0				5.02648e+06	5.13957e+06	5.54838e+06	5.83627e+06	6.10141e+06	6.15818e+06
B5BM32;Q9XVS7	NXF1_CAEEL	nxf-1		765005	888534	952982	809867	1.35389e+06	1.02896e+06
B5BM47;Q9XTY7				384506		334282	494333	527576	490842
B5U8N2				1.34503e+06	1.40381e+06	1.16785e+06	1.83099e+06	1.45351e+06	1.53216e+06
B6VQ41;Q21020				776652	819723	937915	876052	1.00651e+06	742233
B6VQ59;Q19346				1.67521e+06	1.80143e+06	1.48002e+06	1.93943e+06	1.90486e+06	1.86044e+06
B7FAR9;D9PTN8				6.66265e+06	7.0842e+06	7.07383e+06	8.91044e+06	9.09948e+06	9.43964e+06
B7WN95				1.79679e+08	1.96186e+08	1.9082e+08	2.14776e+08	2.44675e+08	2.42539e+08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.42769e+06	1.74904e+06	1.95791e+06	1.47974e+06	1.3602e+06	1.64004e+06
B9WRS6;H2KYL7;H2KYL8				1.75484e+07	1.83244e+07	1.67449e+07	2.12572e+07	2.18697e+07	2.09226e+07
C0P278						976619	827180	817027	942766
C0Z1Y9				617565	843544	837131	1.06502e+06	1.21158e+06	962021
C1P622;Q09517;S6FCZ1	LE767_CAEEL	let-767		9.70008e+06	9.6546e+06	9.78373e+06	1.15421e+07	1.13252e+07	1.08734e+07
C1P627;Q22028							538223		
C1P629;C6KRJ2;Q18937				1.64372e+06	1.70822e+06	2.0008e+06	1.95748e+06	2.40443e+06	2.20203e+06
C1P636;Q27481				1.57449e+07	1.46873e+07	1.53452e+07	1.88208e+07	1.90847e+07	1.88054e+07
C2BR91				4.38425e+06	5.31245e+06	3.86145e+06	5.4485e+06	4.95905e+06	5.448e+06
C2BR94;H2L0N5					5.46919e+06		7.96244e+06	9.81171e+06	8.48134e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1.02125e+06	951859	797312	742971	913847	1.18304e+06
C5VUK2;Q95PZ0	CSN6_CAEEL	csn-6			1.30038e+06	1.54401e+06	2.2404e+06	1.74303e+06	1.89775e+06
C6KRG1;H2KZY6				5.66692e+06	6.36636e+06	6.94003e+06	7.26979e+06	7.32047e+06	6.45902e+06
C6KRI9;Q22847;X5M5W2;X5M900				1.68965e+06		1.02237e+06	1.65232e+06	1.76731e+06	1.23504e+06
C6KRK8;Q21890	YF64_CAEEL	R102.4		1.38911e+06	1.22935e+06		1.76028e+06	1.72317e+06	1.89324e+06
C6KRN4;Q5FC39					1.51337e+06	1.17943e+06		2.17166e+06	1.61405e+06
C6KRQ4;Q9XTQ6	TBH1_CAEEL	tbh-1		936454	842211	937342	949067	960425	1.06796e+06
C7FZU3;C7FZU4;Q93791				3.34548e+06	3.55527e+06	3.57896e+06	3.94535e+06	4.17882e+06	4.21866e+06
C9IY21;C9IY22				3.57207e+06	3.84447e+06	4.2348e+06	4.61601e+06	4.24825e+06	4.69668e+06
D0IMZ5;U4PR92				1.61644e+07	1.57244e+07	1.6265e+07	1.9262e+07	1.99859e+07	1.9703e+07
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	1.03172e+07	1.08295e+07	1.0249e+07	1.30194e+07	1.33328e+07	1.30836e+07
D0VWL6				3.05533e+06	2.93166e+06	3.03154e+06	3.75658e+06	3.73848e+06	3.87277e+06
D0VWM8;Q20414	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	797024	664290	978727	1.11651e+06	1.12785e+06	1.08934e+06
D1MN80;Q20184					530512	419273	544496	583513	560281
D3NQA9;Q2YS41				1.74947e+06	1.77397e+06	1.67916e+06	2.1761e+06	2.28524e+06	2.13418e+06
D3YT36;D3YT37;Q23539				1.38564e+06	1.38625e+06	1.39012e+06	1.93632e+06	1.81315e+06	1.74509e+06
D3YT56				9.0402e+06	9.24746e+06	9.46318e+06	1.22898e+07	1.17527e+07	1.18482e+07
D4YWC3				2.00919e+06		1.81591e+06	2.44753e+06	2.05551e+06	1.99157e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	5.7685e+06	5.94965e+06	5.82212e+06	7.04422e+06	7.32099e+06	7.25439e+06
D5MCQ1;D5MCQ2;D5MCQ3;D5MCQ4;D5MCQ5;D5MCQ6;D5MCQ7;D5MCQ8;D5MCQ9;D5MCR3;D5MCR4;D5MCR5;Q21900;Q7JMB8				8.52318e+06	9.26563e+06	1.06919e+07	1.24589e+07	1.16665e+07	1.2156e+07
D7SFI3				8.16443e+06	6.99295e+06	8.03308e+06	9.39972e+06	8.54128e+06	1.07992e+07
D7SFK2				250365	86209.8	171650	233117	221461	151181
D9PTP5;D9PTP6				1.771e+06	1.96847e+06	1.9971e+06	2.4727e+06	2.38203e+06	2.85125e+06
E0AHA7;G5EG85				6.68562e+06	6.59895e+06	6.56004e+06	7.97728e+06	8.06803e+06	7.87339e+06
E0R7L2				1.35192e+06	1.20214e+06	1.18242e+06	1.64451e+06	1.71887e+06	1.91509e+06
E1B6Q7				2.46883e+06	2.35521e+06	2.00806e+06	3.12692e+06	3.07464e+06	3.22639e+06
E1B6R3;P34445	YL87_CAEEL	F54C8.7		2.95915e+06	2.69606e+06	2.6468e+06	4.91212e+06	3.36896e+06	3.98203e+06
E2JKZ0;L8E938;L8EC32;Q23542				1.39956e+06	1.49406e+06		1.59946e+06	1.41486e+06	1.44936e+06
E2JL04				723690	741430	615511	1.30662e+06	978286	854590
E3W741;Q18878				1.86998e+06	1.76165e+06	1.97032e+06	2.36698e+06	2.50579e+06	2.4133e+06
E5QCI8;O45666	NHR49_CAEEL	nhr-49		216203	276498		342866	401403	417577
E9P883;G5ECN9;Q18772	NEC2_CAEEL	egl-3		1.76359e+06	1.83269e+06	2.16153e+06	1.90485e+06	2.00153e+06	2.09015e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.13259e+07	9.27239e+07	9.13988e+07	9.10393e+07	9.37546e+07	9.9947e+07
E9RKC7					962687	822844	1.0468e+06	1.32118e+06	1.03215e+06
F5GU60;H2KZS0				2.00009e+06	2.46604e+06	2.60615e+06	2.77969e+06	3.08613e+06	3.3117e+06
F5GU86;F5GU87;Q19681				2.11654e+06	1.27626e+06	1.46132e+06	2.40323e+06	1.90618e+06	
F5GUC7;Q19553				1.19615e+06		947555	1.25693e+06	1.26868e+06	1.47649e+06
F5GUD3				118206			144502	73704.7	
G1K0V8;P34563	IF5A1_CAEEL	iff-1		2.35822e+07	2.54069e+07	2.17073e+07	3.16152e+07	2.97507e+07	2.79537e+07
G1K0X0;Q1ZXU6;Q22655;Q22656							590205		416696
G3MU08;Q17424	THIO2_CAEEL	trx-2		2.11242e+06	2.43524e+06	2.15509e+06	2.45494e+06	2.88702e+06	2.96246e+06
G3MU14;Q27497	GLC7A_CAEEL	gsp-1		1.22189e+06	1.34293e+06	1.40026e+06	1.45475e+06	1.48389e+06	2.0001e+06
G3MU28;G3MU29;G3MU30;Q23318;Q7JLE3				596438	510260	455813	660209	730235	537408
G3MU38;Q18785	MIF2_CAEEL	mif-2		1.96158e+06			2.03679e+06	2.16024e+06	
G3MU56;G3MU57;P90897	RDE12_CAEEL	rde-12		995810	1.05469e+06	886289	1.26589e+06	1.2465e+06	1.13795e+06
G3MU79;G3MU80;G3MU81;G3MU82;G3MU83;N1NSD8;N1NSE3;N1NTD2;N1NTD8;N1NTI7;N1NTJ2;N1NV07;N1NVB4;O45623;O45624;Q7JKC3	UBP7_CAEEL	math-33		1.61362e+06	1.55982e+06	1.44798e+06	1.89184e+06	1.89016e+06	1.90459e+06
G3MU88;O18239				1.05615e+07	1.11491e+07	1.1661e+07	1.38074e+07	1.31474e+07	1.47983e+07
G4RYA5				509067	529652	491870	808856	729713	592192
G4S034				9.07453e+06	9.12739e+06	9.15855e+06	1.1255e+07	1.15938e+07	1.14457e+07
G4SF15;Q95XR3					1.38853e+06	969460	1.55909e+06	1.39831e+06	
G4SI07				2.76496e+07	2.8033e+07	2.88517e+07	3.47916e+07	3.483e+07	3.45963e+07
G4SL51				1.035e+07	1.01088e+07	1.03707e+07	1.32037e+07	1.35621e+07	1.28899e+07
G4SLD6;G4SLH0;G5EFF0	TTN1_CAEEL	ttn-1		5.94612e+06	6.05246e+06	6.51753e+06	7.09062e+06	7.45424e+06	7.89876e+06
G4SPY0;G4SPY1				4.09419e+06	4.57544e+06	5.05136e+06	5.4191e+06	5.03352e+06	4.77597e+06
G4SRS5							678265	637992	898738
G5EBF3				1.19154e+08	1.18711e+08	1.24435e+08	1.44947e+08	1.49185e+08	1.52339e+08
G5EBF4				2.93123e+06		2.70098e+06	3.64064e+06	3.78523e+06	4.49233e+06
G5EBG0				1.13234e+06		1.07657e+06	1.58917e+06	1.72857e+06	1.55492e+06
G5EBH3;G5EC35;G5EFW3				1.21833e+06	1.11128e+06	1.33893e+06	1.44036e+06	1.35762e+06	1.61663e+06
G5EBH7				2.53179e+07	2.70953e+07	2.62085e+07	3.37234e+07	3.29323e+07	3.53746e+07
G5EBI0				8.82456e+06	9.04168e+06	9.97481e+06	1.07699e+07	1.22611e+07	1.12457e+07
G5EBJ7				1.91268e+07	1.84484e+07	1.83771e+07	2.45491e+07	2.38351e+07	2.40124e+07
G5EBJ8				1.07844e+08	1.08083e+08	1.11654e+08	1.38346e+08	1.48037e+08	1.39049e+08
G5EBK3				1.5952e+07	1.49945e+07	1.52845e+07	1.74204e+07	1.77541e+07	1.82382e+07
G5EBP4;G5EEG8;G5EEP9				4.45793e+06	4.31798e+06	4.43125e+06	5.6732e+06	5.28164e+06	5.49201e+06
G5EBP5				1.68422e+07	1.62677e+07	1.65654e+07	2.0873e+07	2.01762e+07	2.04791e+07
G5EBR1;Q2V4S2				1.26301e+07	1.21867e+07	1.21786e+07	1.48186e+07	1.66334e+07	1.63538e+07
G5EBT3				2.38925e+06	2.28902e+06	2.212e+06	3.2179e+06	3.08176e+06	2.54889e+06
G5EBU8;G5EFT0				581066	383155	554687	949317	634639	870455
G5EBV4							5.70254e+06	7.20304e+06	4.04809e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	2.17737e+06	1.85416e+06	1.9576e+06	2.87621e+06	2.24578e+06	2.94919e+06
G5EBW5				721964	942036	1.08201e+06	1.0893e+06	1.08988e+06	947611
G5EBY3				2.28426e+06	2.1387e+06	1.98354e+06	2.78141e+06	2.78821e+06	2.55181e+06
G5EC10				2.03739e+07	1.95787e+07	1.86469e+07	2.31238e+07	2.36825e+07	2.50314e+07
G5EC22;Q9XUD6					1.6938e+06		2.87905e+06	2.22792e+06	
G5EC23				1.17154e+06	1.35518e+06	1.15017e+06	2.03629e+06	1.98853e+06	1.98658e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2		331910		425404	403054	323327
G5EC31				6.13842e+06	6.38241e+06	6.62939e+06	7.5e+06	7.6304e+06	8.10048e+06
