Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190320yix_KRUK_DIA_b6_15.mzML
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	3.58375e+07
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	9.46504e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.11827e+07
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1.06974e+07
O00468	AGRIN_HUMAN	AGRN	Agrin	3.04762e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5.93004e+06
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	2.26882e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	8.88487e+06
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	1.0541e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	7.58061e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.02028e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.7338e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.49188e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	8.08202e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.21103e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	5.6576e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	1.65396e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	8.96175e+06
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	620784
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	3.36514e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	2.76197e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	5.3161e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.00909e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.92765e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	9.68727e+06
O00625	PIR_HUMAN	PIR	Pirin	1.4573e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2.20713e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2.20425e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	8.96866e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.93583e+07
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	6.7035e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	3.69284e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.83646e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.00196e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.82586e+07
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	2.72974e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	4.01529e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	3.11425e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5.15265e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	9.01191e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.9846e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	8.93707e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	7.83748e+07
O14604	TYB4Y_HUMAN	TMSB4Y	Thymosin beta-4, Y-chromosomal	2.53008e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.58076e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.96491e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.35483e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	4.38764e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	3.09436e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.12319e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	4.29996e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	5.73707e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	6.75652e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	8.70952e+06
O14678	ABCD4_HUMAN	ABCD4	Lysosomal cobalamin transporter ABCD4	878810
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	231265
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	3.32681e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	1.41512e+07
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	8.8373e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	4.40418e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	4.38651e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	8.01082e+07
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	1.41899e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	2.2395e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.39997e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	3.06367e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	449830
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	2.64945e+06
O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	3.449e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	1.20861e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	5.46949e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.43958e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	2.06063e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	5.9577e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	2.08222e+07
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	1.3901e+07
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.15166e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	9.21953e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	6.43509e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	3.58433e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.32514e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	1.44384e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	4.10194e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.21395e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	2.51581e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.99835e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	5.28438e+06
O14967	CLGN_HUMAN	CLGN	Calmegin	2.44599e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	4.09766e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	1.62206e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	2.89344e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	9.22043e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	5.68048e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	1.53572e+07
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	4.99922e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.03643e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.80976e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.40315e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	945678
O15061	SYNEM_HUMAN	SYNM	Synemin	1.66485e+07
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	3.24426e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.37795e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	2.81503e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	4.01148e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	3.29043e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.91344e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.83774e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	2.1033e+07
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	1.51354e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	2.16661e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	1.79315e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	2.49361e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	2.12797e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.66289e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.08413e+08
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.59632e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	2.57326e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	9.28355e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.73228e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	6.30989e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	2.00765e+08
O15204	ADEC1_HUMAN	ADAMDEC1	ADAM DEC1	2.97866e+06
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	3.98463e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	3.90487e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	7.32664e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	1.32055e+08
O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	1.21188e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	2.43541e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	5.91827e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	5.47784e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	5.62415e+06
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	4.42385e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	8.10559e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	3.5179e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.66611e+07
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	5.4247e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.02784e+07
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	4.53074e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	3.89333e+06
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	5.56698e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	3.91348e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	4.66193e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	4.47396e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3.57974e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.95823e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	5.42689e+06
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.97891e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	1.68376e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	2.86533e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	7.62352e+06
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.72962e+06
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	1.35237e+07
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	3.20455e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	4.15486e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	5.24011e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2.06599e+08
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	1.7955e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	1.26455e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	9.23516e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	1.06541e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	9.21721e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	8.01218e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	6.81289e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	3.87449e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	6.84574e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	3.54502e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.09384e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	5.59975e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.5315e+07
O43182	RHG06_HUMAN	ARHGAP6	Rho GTPase-activating protein 6	3.10153e+06
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	4.16647e+07
O43236	SEPT4_HUMAN	SEPTIN4	Septin-4	5.06558e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	2.84377e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	4.45211e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	1.10149e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.57427e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	7.90828e+07
O43272	PROD_HUMAN	PRODH	Proline dehydrogenase 1, mitochondrial	3.64556e+07
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	1.38513e+07
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	3.26453e+07
O43291	SPIT2_HUMAN	SPINT2	Kunitz-type protease inhibitor 2	4.09287e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	2.5005e+07
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	1.18989e+07
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	5.44507e+07
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	1.08597e+06
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	2.21913e+07
