Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\E20201002yuanch_Connie_TCPA_60minDIA_b4-4.mzML
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	4.48385e+09
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	5.36934e+07
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.59467e+07
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.27348e+07
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.17084e+07
A6NGQ2	OOEP_HUMAN	OOEP	Oocyte-expressed protein homolog	3.22584e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4.54297e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2.30595e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	5.10514e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	942599
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1.43756e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.19111e+07
B4DXR9	ZN732_HUMAN	ZNF732	Zinc finger protein 732	9.42047e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	1.76741e+07
B8ZZ34	SHSA8_HUMAN	SHISA8	Protein shisa-8	1.45103e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	6.05529e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	2.00741e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.28205e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2.93521e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	2.51946e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	6.04856e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.72244e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.37425e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	2.2031e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.57162e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.16582e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	3.47064e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.44973e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.6118e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.18091e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.05463e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	1.69093e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	4.5887e+06
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	7.12599e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2.65546e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.55539e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	6.53793e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4.80249e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.47147e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.17984e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4.01609e+06
O00255	MEN1_HUMAN	MEN1	Menin	7.29334e+06
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	1.19252e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1.00692e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	3.01172e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.37558e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.60535e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	8.66462e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.27812e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	5.47992e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	7.04998e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	2.86479e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	3.19659e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	8.06011e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	7.56504e+06
O00409	FOXN3_HUMAN	FOXN3	Forkhead box protein N3	626441
O00410	IPO5_HUMAN	IPO5	Importin-5	3.40668e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	587001
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1.07486e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	3.39905e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.41876e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	2.98108e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	2.33973e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.38557e+07
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	4.6963e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	3.01967e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	7.27929e+08
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	4.31607e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	6.61217e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	5.47766e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1.6135e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.73868e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.47996e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	9.74012e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	3.28192e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	4.75676e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.19067e+07
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.58388e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	9.49548e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	7.00011e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1.91989e+08
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	4.33027e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	9.45052e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	2.67691e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	3.52525e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.19452e+07
O00746	NDKM_HUMAN	NME4	Nucleoside diphosphate kinase, mitochondrial	2.5456e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	2.26733e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.51999e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	836974
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	2.40944e+07
O14490	DLGP1_HUMAN	DLGAP1	Disks large-associated protein 1	4.22316e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	2.94471e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.48866e+08
O14522	PTPRT_HUMAN	PTPRT	Receptor-type tyrosine-protein phosphatase T	5.96118e+06
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	1.07084e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	5.70989e+06
O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4	3.016e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5.94004e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	1.22451e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	4.12962e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.55165e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	3.8989e+07
O14593	RFXK_HUMAN	RFXANK	DNA-binding protein RFXANK	1.3929e+06
O14613	BORG1_HUMAN	CDC42EP2	Cdc42 effector protein 2	4.56473e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.28254e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	9.53761e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	1.06901e+07
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	8.24103e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	5.72985e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	2.6291e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	9.72611e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	8.9675e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	3.30855e+07
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.0769e+07
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	5.67094e+06
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	2.36711e+07
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	3.91451e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	6.37949e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	3.87599e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	9.24627e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.78579e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.31202e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	1.44383e+06
O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2	3.42206e+07
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	1.12216e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	3.83372e+07
O14775	GNB5_HUMAN	GNB5	Guanine nucleotide-binding protein subunit beta-5	1.42057e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.47071e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	1.02915e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	1.47038e+07
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	1.92415e+07
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	4.2888e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.30083e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.80363e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.26107e+07
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.27778e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	6.06947e+08
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	5.3595e+08
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	3.15994e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	2.32175e+07
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	318395
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.31785e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	1.40273e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.8058e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	200726
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2.68619e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.14569e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	3.14091e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	5.06353e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	3.06547e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	4.74447e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.20382e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	9.35253e+07
O15040	TCPR2_HUMAN	TECPR2	Tectonin beta-propeller repeat-containing protein 2	1.35749e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	2.55986e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	4.56005e+07
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	2.21641e+07
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1.919e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	3.34779e+07
O15068	MCF2L_HUMAN	MCF2L	Guanine nucleotide exchange factor DBS	1.19033e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6.91855e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	8.12528e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	4.59143e+07
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.83536e+07
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	6.83202e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	6.06548e+07
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	6.25992e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	2.27559e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	6.39828e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	2.42109e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	5.8986e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.7996e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	6.9098e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	2.06185e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	1.38858e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	7.49303e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	3.56618e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	5.31356e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	8.47614e+06
O15217	GSTA4_HUMAN	GSTA4	Glutathione S-transferase A4	6.28357e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	3.17627e+07
O15232	MATN3_HUMAN	MATN3	Matrilin-3	7.77606e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	2.4047e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	3.42979e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	1.82424e+07
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	7.09443e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	6.47465e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.18404e+07
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.3461e+07
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.76776e+07
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	4.31455e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	5.45737e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	1.43364e+07
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	1.18827e+08
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.71282e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	5.2918e+06
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	4.32466e+06
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	9.80802e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	6.01248e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	3.65522e+07
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	4.19528e+06
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	2.59547e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	4.13314e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	4.92131e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.92551e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.1262e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	2.27624e+07
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	2.96239e+06
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	3.31411e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	8.4104e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	1.06077e+07
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	1.10403e+07
O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	1.31783e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	1.09482e+07
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	4.31893e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	3.36031e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	2.09813e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.43364e+07
O43187	IRAK2_HUMAN	IRAK2	Interleukin-1 receptor-associated kinase-like 2	1.69215e+08
O43189	PHF1_HUMAN	PHF1	PHD finger protein 1	3.35329e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	3.74366e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	4.47002e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	3.21087e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.54632e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	4.68157e+08
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	3.0567e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	1.76891e+07
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	2.34538e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.42599e+07
O43298	ZBT43_HUMAN	ZBTB43	Zinc finger and BTB domain-containing protein 43	1.34815e+06
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	4.90828e+06
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	2.36613e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1.18243e+07
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	3.09837e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	2.1932e+07
O43353	RIPK2_HUMAN	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	4.80465e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	3.24314e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1.14678e+08
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	3.62268e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	7.31101e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	9.23472e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	7.2286e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	3.06497e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1.21587e+08
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	5.80483e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	1.1983e+07
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	1.51716e+08
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	3.11434e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	9.18445e+06
O43521	B2L11_HUMAN	BCL2L11	Bcl-2-like protein 11	4.15109e+06
O43524	FOXO3_HUMAN	FOXO3	Forkhead box protein O3	2.41322e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	9.86886e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.99114e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	9.00816e+06
O43597	SPY2_HUMAN	SPRY2	Protein sprouty homolog 2	9.0951e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	3.24292e+06
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	9.48972e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.95078e+07
