Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1.13251e+08
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29	1.54145e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	3.93701e+06
A2RUB6	CCD66_HUMAN	CCDC66	Coiled-coil domain-containing protein 66	2.265e+06
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5.95129e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4.74135e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4.54213e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2.39135e+06
A4D1S0	KLRG2_HUMAN	KLRG2	Killer cell lectin-like receptor subfamily G member 2	9.88785e+06
A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11	5.44488e+06
A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	1.59403e+07
A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	5.3992e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	3.20623e+06
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2.73034e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	9.64352e+06
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.04516e+07
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	2.4334e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7.02092e+06
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	2.15007e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	2.68207e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	569667
A6NGE4	DC8L1_HUMAN	DCAF8L1	DDB1- and CUL4-associated factor 8-like protein 1	275252
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.17642e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.14708e+07
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3.76931e+06
A6NK58	LIPT2_HUMAN	LIPT2	Putative lipoyltransferase 2, mitochondrial	692772
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	2.80761e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	9.90431e+06
A6NKG5	RTL1_HUMAN	RTL1	Retrotransposon-like protein 1	1.20933e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	607264
A6QL63	ABTB3_HUMAN	ABTB3	Ankyrin repeat and BTB/POZ domain-containing protein 3	2.53107e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.08697e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	1.33024e+06
A7E2Y1	MYH7B_HUMAN	MYH7B	Myosin-7B	9.2678e+06
A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	708706
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	3.53276e+06
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	3.86419e+06
A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1	679088
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.05083e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	113419
B1AJZ9	FHAD1_HUMAN	FHAD1	Forkhead-associated domain-containing protein 1	1.54666e+06
B1AK53	ESPN_HUMAN	ESPN	Espin	4.74574e+06
B7ZAQ6	GPHRA_HUMAN	GPR89A	Golgi pH regulator A	3.42872e+06
B7ZW38	HNRC3_HUMAN	HNRNPCL3	Heterogeneous nuclear ribonucleoprotein C-like 3	2.16234e+07
B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	1.27986e+07
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	7.05045e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.23338e+07
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	7.59596e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.9687e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	5.40098e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	3.72498e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	9.15419e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.47047e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.58113e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.0804e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	4.74765e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.11e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	3.52135e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	3.26229e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.07446e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	2.91481e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	6.62693e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	6.37566e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.40325e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	4.11672e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	8.1488e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	6.06476e+06
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	996978
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.73436e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.26663e+07
O00214	LEG8_HUMAN	LGALS8	Galectin-8	6.7316e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.25326e+07
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	736457
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	6.70118e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.28652e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9.32742e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	7.04109e+06
O00255	MEN1_HUMAN	MEN1	Menin	6.01855e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7.12663e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.28649e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	2.59687e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	4.38881e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	4.10904e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	6.75535e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.62206e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.72278e+07
O00339	MATN2_HUMAN	MATN2	Matrilin-2	4.99327e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.33557e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1.98596e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	9.21164e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.1259e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	8.26057e+06
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	1.35429e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2.68577e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	573111
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	1.13971e+08
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	4.02263e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.54656e+07
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	4.48717e+07
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1.1117e+07
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	7.13165e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	9.77027e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.33526e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	6.59933e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	2.41259e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	3.7375e+07
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.66552e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4.81566e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	2.04039e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	3.36037e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.24942e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.09816e+06
O00515	LAD1_HUMAN	LAD1	Ladinin-1	6.31894e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.96401e+08
O00559	RCAS1_HUMAN	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells	5.924e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1.05525e+07
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6.38243e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	9.08403e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.4296e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	4.85311e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	1.20018e+07
O00625	PIR_HUMAN	PIR	Pirin	9.04228e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.22992e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	1.72145e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.05648e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.12801e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.19341e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4.59442e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	2.78593e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.75644e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.95648e+06
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	5.05004e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.27746e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	3.2706e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	2.40625e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	1.04073e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1.73138e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.15433e+07
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	2.82743e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	6.82971e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	6.81794e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.84191e+07
O14638	ENPP3_HUMAN	ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	2.13398e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	8.03972e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	2.9397e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	8.78987e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	4.64274e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	6.51606e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	2.03626e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.17238e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	3.58574e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	7.47911e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	3.57142e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	1.52094e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	6.48232e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	754029
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.67188e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	4.61817e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	1.90815e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.40528e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.48025e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	4.08636e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	259674
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	5.9885e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	3.36072e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	712782
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	6.69486e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	5.27367e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	3.00197e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	9.11118e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	6.41617e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	8.04566e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3.28916e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.04662e+07
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	3.45283e+06
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	922635
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	4.6415e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	5.6794e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	8.67211e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	7.00367e+06
O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	2.64172e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	2.94383e+07
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	2.45702e+08
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	8.19941e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.85266e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	5.08915e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	9.96314e+06
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	148130
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.10774e+07
O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	6.27083e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	4.50721e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.4092e+07
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	1.61828e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	1.41407e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.91476e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.42198e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.31661e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	7.30309e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	4.6529e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.53421e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	4.6512e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	8.77608e+06
O15037	KHNYN_HUMAN	KHNYN	Protein KHNYN	3.56036e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	4.75151e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2.22775e+06
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	3.75038e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	5.79615e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.95566e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	9.93195e+06
O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	3.47509e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	4.04123e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	7.0114e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	2.71414e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	2.46904e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.49791e+07
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	1.95838e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	1.63146e+06
O15123	ANGP2_HUMAN	ANGPT2	Angiopoietin-2	1.84448e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	5.87601e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	8.99432e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.95981e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	4.25814e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.54558e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	2.91711e+07
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	2.52591e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.53047e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	1.9123e+08
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	1.35888e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	4.22071e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	1.3246e+07
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	1.27653e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.40593e+07
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	1.21876e+07
O15234	CASC3_HUMAN	CASC3	Protein CASC3	3.74693e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	4.0244e+06
O15254	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	6.88618e+06
O15258	RER1_HUMAN	RER1	Protein RER1	7.01692e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	2.09866e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	4.90217e+06
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	9.07677e+06
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	1.09466e+07
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.52048e+07
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.87345e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.84533e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.84781e+08
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2.91529e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	4.98224e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3.02675e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.05264e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	2.94604e+06
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	1.6508e+06
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.06314e+07
O15397	IPO8_HUMAN	IPO8	Importin-8	1.54165e+07
O15400	STX7_HUMAN	STX7	Syntaxin-7	1.33174e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.74781e+06
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	5.00435e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	9.2496e+06
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.39475e+06
