Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20200929yuanch_Connie_TCPA_60minDIA_b2-14.mzML
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	1.29242e+07
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	1.06012e+07
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	4.08904e+07
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	6.33819e+07
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	2.21146e+07
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	2.01826e+07
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	3.11192e+07
A0A0C4DH38;A0A0J9YXX1	HV551_HUMAN;HV5X1_HUMAN	IGHV5-10-1;IGHV5-51	Immunoglobulin heavy variable 5-51	6.82238e+06
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	5.99243e+07
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	6.82805e+07
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	4.47102e+07
A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	3.84724e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	1.38757e+07
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1.02379e+08
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.75281e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1.07811e+07
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	4.92014e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3.0979e+07
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1.10111e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	8.32055e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2.02036e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	8.79187e+06
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1.08716e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.20714e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	8.3536e+06
A6NGU5;P19440	GGT1_HUMAN;GGT3_HUMAN	GGT1;GGT3P	Putative glutathione hydrolase 3 proenzyme	2.33606e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	3.78501e+06
A6NI72;P14598	NCF1B_HUMAN;NCF1_HUMAN	NCF1;NCF1B	Putative neutrophil cytosol factor 1B	4.66467e+06
A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B	1.23271e+07
A6NLI5	TR64C_HUMAN	TRIM64C	Tripartite motif-containing protein 64C	7.73831e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2.09722e+06
A7KAX9;Q7Z6I6	RHG30_HUMAN;RHG32_HUMAN	ARHGAP30;ARHGAP32	Rho GTPase-activating protein 32	2.0379e+06
A8K7I4	CLCA1_HUMAN	CLCA1	Calcium-activated chloride channel regulator 1	2.25991e+08
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	9.74596e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1.18848e+07
A8TX70	CO6A5_HUMAN	COL6A5	Collagen alpha-5(VI) chain	5.94389e+06
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3.55075e+06
A9YTQ3;P35869	AHRR_HUMAN;AHR_HUMAN	AHR;AHRR	Aryl hydrocarbon receptor repressor	4.06861e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1.07414e+07
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	1.37853e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	7.97869e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.15997e+07
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	9.42434e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.75469e+07
G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	2.0211e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3.06611e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	2.05152e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1.32622e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.21822e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.49206e+07
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1.6569e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.70989e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.33653e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.65852e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9.18808e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	8.85178e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.17915e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.84746e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.90528e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9.79069e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.12347e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.08495e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	9.63995e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	2.69031e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.35665e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	3.28145e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.15851e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.09932e+08
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	9.43605e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	9.12442e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.83616e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	1.0603e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.8563e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.55721e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9.68359e+06
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	5.03982e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	3.05025e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.6204e+08
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.61101e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	1.7731e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	366156
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	4.34769e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.00178e+07
O00425;Q9NZI8;Q9Y6M1	IF2B1_HUMAN;IF2B2_HUMAN;IF2B3_HUMAN	IGF2BP1;IGF2BP2;IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	7.92884e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.18354e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1.29637e+07
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.65794e+07
O00468	AGRIN_HUMAN	AGRN	Agrin	2.90419e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.33055e+07
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.3857e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2.69403e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.22886e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.91766e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.16605e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.40332e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	1.91592e+07
O00515	LAD1_HUMAN	LAD1	Ladinin-1	9.7482e+07
O00533	NCHL1_HUMAN	CHL1	Neural cell adhesion molecule L1-like protein	1.47932e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.42534e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.44761e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.62374e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.68338e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	9.06003e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.9282e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	9.6234e+06
O00625	PIR_HUMAN	PIR	Pirin	3.61069e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.01541e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.19111e+07
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.47387e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	5.65995e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.47508e+07
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.8379e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.48749e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.16932e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	2.7499e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	4.13159e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.20371e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.39266e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	5.09699e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	2.41676e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.70138e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	2.16269e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	2.1128e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	9.0664e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	9.67288e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	4.2729e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	1.2588e+07
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	3.63272e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2.15471e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.85699e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.65728e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	5.34001e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.85237e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	5.61682e+07
O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2	1.35711e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.83363e+08
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	1.33416e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	8.27347e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	4.39914e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	2.53954e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	1.02134e+08
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.78242e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.09344e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	7.38294e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	7.01842e+06
O14880	MGST3_HUMAN	MGST3	Glutathione S-transferase 3, mitochondrial	5.2756e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	4.35291e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	4.29754e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.19303e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	5.27282e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.55197e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	1.54541e+07
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	3.6877e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	4.25759e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	3.11513e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	1.46756e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	6.00762e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	5.43586e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.8298e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.22429e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	4.85753e+07
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	9.18764e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	7.21712e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.30334e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.57106e+07
O15061	SYNEM_HUMAN	SYNM	Synemin	2.47292e+08
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	3.27553e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	1.07718e+07
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	2.79915e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	2.23542e+07
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	978487
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	2.68696e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	1.04729e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	4.48193e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.0677e+08
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.17491e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.83025e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.71651e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	9.7325e+07
O15195	VILL_HUMAN	VILL	Villin-like protein	1.54546e+07
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.88698e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.63767e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	1.05175e+07
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	9.97733e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	8.47511e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	6.85773e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	1.39731e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	3.68664e+07
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.33593e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	3.19775e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.72081e+07
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	5.62584e+06
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	6.23859e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.6543e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	1.95148e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	5.075e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.56891e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.2556e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	2.13088e+07
O15391;P25490;Q96MM3	TYY1_HUMAN;TYY2_HUMAN;ZFP42_HUMAN	YY1;YY2;ZFP42	Transcription factor YY2	4.13823e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.88776e+07
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	1.10955e+07
O15438	MRP3_HUMAN	ABCC3	ATP-binding cassette sub-family C member 3	3.86261e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	1.04872e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	1.58028e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.82575e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.85268e+08
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	1.71308e+07
O15533	TPSN_HUMAN	TAPBP	Tapasin	2.18552e+07
O15551	CLD3_HUMAN	CLDN3	Claudin-3	6.37772e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	7.25839e+07
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	6.42121e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	3.4749e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	3.94237e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	4.08929e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.03702e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1.01506e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	2.55091e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.66564e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.36142e+07
O43251;Q9NWB1	RFOX1_HUMAN;RFOX2_HUMAN	RBFOX1;RBFOX2	RNA binding protein fox-1 homolog 2	4.76802e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1.76063e+07
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	3.04631e+06
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	7.88786e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.29052e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	7.01997e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	9.78472e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	6.60165e+07
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1.07284e+07
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	9.57416e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	7.31342e+07
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	6.53234e+06
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	4.12386e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	5.50712e+07
O43426	SYNJ1_HUMAN	SYNJ1	Synaptojanin-1	5.29446e+06
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	9.94106e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	1.09861e+07
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.58867e+07
O43451	MGA_HUMAN	MGAM	Maltase-glucoamylase	6.53283e+06
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1.16555e+07
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1.70245e+08
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	5.17986e+07
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	2.80596e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	1.06228e+07
O43520	AT8B1_HUMAN	ATP8B1	Phospholipid-transporting ATPase IC	5.69797e+06
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	8.82518e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	2.08556e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	6.22663e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	4.88752e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	8.85201e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	1.28309e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	7.88349e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	1.02147e+07
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	8.754e+06
