Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3.92584e+07
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	6.28593e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	8.86532e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	7.6457e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.44061e+07
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	3.4256e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.13533e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	9.57766e+06
L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	2.72208e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	8.31163e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.16088e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	5.44684e+06
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	4.61573e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.983e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.25188e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.87837e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	6.39483e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.06338e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	1.91895e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.83723e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.40997e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.46709e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	3.32004e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	6.97352e+06
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	566397
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1.00192e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	5.98115e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.3031e+07
O00204	ST2B1_HUMAN	SULT2B1	Sulfotransferase 2B1	3.72785e+06
O00214	LEG8_HUMAN	LGALS8	Galectin-8	2.83608e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	8.65343e+06
O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	2.03628e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4.43928e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.18008e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.27968e+07
O00237	RN103_HUMAN	RNF103	E3 ubiquitin-protein ligase RNF103	1.01038e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	8.56353e+06
O00255	MEN1_HUMAN	MEN1	Menin	8.24087e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	1.97588e+08
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.07372e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.88794e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	6.64337e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	9.05049e+06
O00292;O75610	LFTY1_HUMAN;LFTY2_HUMAN	LEFTY1;LEFTY2	Left-right determination factor 2	3.79224e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.33378e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1.97613e+07
O00305;P54284;Q02641;Q08289	CACB1_HUMAN;CACB2_HUMAN;CACB3_HUMAN;CACB4_HUMAN	CACNB1;CACNB2;CACNB3;CACNB4	Voltage-dependent L-type calcium channel subunit beta-4	293457
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	7.26279e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	1.2366e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.95606e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3.73436e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	3.70843e+08
O00410	IPO5_HUMAN	IPO5	Importin-5	2.20999e+07
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	194967
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2.59697e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1.46339e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.43982e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	5.79462e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.5002e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	9.85471e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.54647e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	3.48686e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	4.82168e+06
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1.57423e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	3.21791e+07
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	777880
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	4.30654e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	3.50049e+06
O00478	BT3A3_HUMAN	BTN3A3	Butyrophilin subfamily 3 member A3	406839
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2.32024e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	1.96523e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.10887e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	6.21675e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	5.86357e+06
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	801463
O00515	LAD1_HUMAN	LAD1	Ladinin-1	4.24693e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	1.58345e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	6.51411e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.20473e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.38712e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	1.8336e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4.5171e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	7.07991e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	5.73662e+06
O00625	PIR_HUMAN	PIR	Pirin	1.05316e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.18796e+07
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2.48224e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	8.99777e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.14742e+07
O00748	EST2_HUMAN	CES2	Cocaine esterase	1.32553e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	6.22158e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.73232e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	1.66981e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.11739e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	9.45927e+06
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	1.8862e+07
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	1.7967e+06
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	3.77348e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.7572e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	3.32442e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	3.02808e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	2.74833e+07
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	6.25577e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	3.01465e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	2.83932e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	1.21064e+07
O14613	BORG1_HUMAN	CDC42EP2	Cdc42 effector protein 2	1.28729e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.01004e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	1.24748e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.38718e+07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	7.32151e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	2.90625e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	5.08753e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	1.94948e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	3.91483e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	2.51945e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	4.46283e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	3.6715e+06
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	2.1061e+06
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	9.43718e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	2.2832e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.25126e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1.31591e+07
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2.37264e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.17546e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	3.54579e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	777792
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	6.55701e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.60686e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	6.64773e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	431867
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	6.99607e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	5.60263e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	7.73578e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3.6391e+06
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	8.70084e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	3.88057e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	5.9479e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.8903e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.35712e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	7.6313e+06
O14924	RGS12_HUMAN	RGS12	Regulator of G-protein signaling 12	664938
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	2.76223e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.91734e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	1.01002e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	8.74505e+06
O14939	PLD2_HUMAN	PLD2	Phospholipase D2	3.20176e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	1.2958e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	1.72826e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.14192e+07
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	7.4565e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	1.06205e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	2.87872e+08
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	6.71554e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	7.62089e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.99896e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.62618e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	8.76254e+06
O15021	MAST4_HUMAN	MAST4	Microtubule-associated serine/threonine-protein kinase 4	3.28347e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	9.60306e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	1.57308e+07
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.35843e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.77138e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	6.92102e+06
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	583872
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	1.11614e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	4.47148e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	2.16882e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.63824e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	3.29642e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.98351e+07
O15117	FYB1_HUMAN	FYB1	FYN-binding protein 1	6.58724e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	2.40494e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	886349
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	2.132e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	5.28385e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1.63481e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	6.37148e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	8.71649e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.6066e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.31306e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	3.29752e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	837768
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.84258e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	2.58403e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	5.0368e+06
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	1.64167e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	8.74685e+07
O15234	CASC3_HUMAN	CASC3	Protein CASC3	2.37798e+06
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	3.91057e+06
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2.89783e+06
O15258	RER1_HUMAN	RER1	Protein RER1	5.06863e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	3.06468e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	2.69565e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	7.45056e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	6.58726e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	3.03368e+07
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	1.47468e+06
O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II	1.65513e+06
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	4.97974e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	2.59444e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	1.77036e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	2.1291e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	2.60785e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.65807e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	3.0022e+07
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	316126
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	9.23632e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	2.45125e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	1.6594e+07
O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	1.18973e+06
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	1.47471e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	3.94591e+07
O15484	CAN5_HUMAN	CAPN5	Calpain-5	2.50427e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.974e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.38735e+08
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	1.28783e+06
O15525;O60675;Q9ULX9	MAFF_HUMAN;MAFG_HUMAN;MAFK_HUMAN	MAFF;MAFG;MAFK	Transcription factor MafG	2.50218e+06
O15530;Q6A1A2	PDPK1_HUMAN;PDPK2_HUMAN	PDPK1;PDPK2P	3-phosphoinositide-dependent protein kinase 1	897319
O15533	TPSN_HUMAN	TAPBP	Tapasin	3.2347e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	1.0565e+06
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	5.44579e+07
