Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
A6NIZ1	RP1BL_HUMAN	RAP1BL	Ras-related protein Rap-1b-like protein	3.21055e+07
A6NKN8	PC4L1_HUMAN	PCP4L1	Purkinje cell protein 4-like protein 1	189635
A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	6.91799e+06
A8K7I4	CLCA1_HUMAN	CLCA1	Calcium-activated chloride channel regulator 1	5.03574e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.8288e+07
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	9.551e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	3.62519e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	9.88649e+06
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	5.49209e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.44149e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	9.63898e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	2.16934e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2.9826e+07
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	5.93581e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	3.37979e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.55832e+08
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	2.36454e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.72548e+07
O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	4.24565e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	3.96584e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3.0358e+07
O00175	CCL24_HUMAN	CCL24	C-C motif chemokine 24	9.08555e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	4.74296e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	983119
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	5.13803e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2.62611e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1.11215e+07
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.3654e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4.29444e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.79967e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2.21059e+07
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.21305e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5.63047e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.08549e+08
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.66976e+07
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	2.24456e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.52406e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.51419e+07
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	5.09354e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	2.28874e+07
O00338	ST1C2_HUMAN	SULT1C2	Sulfotransferase 1C2	4.3202e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	2.28359e+07
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1.03159e+07
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	1.55243e+07
O00410	IPO5_HUMAN	IPO5	Importin-5	5.55745e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	492133
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1.91358e+07
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2.37973e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.80423e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	4.10887e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	3.14983e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	2.0652e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	6.41846e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	1.25213e+07
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1.04571e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	4.1485e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	1.24736e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	1.46594e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.26675e+07
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.38483e+07
O00515	LAD1_HUMAN	LAD1	Ladinin-1	5.49897e+07
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.23574e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.2921e+07
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	4.82381e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.58364e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.21499e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.33413e+07
O00592	PODXL_HUMAN	PODXL	Podocalyxin	5.41315e+06
O00625	PIR_HUMAN	PIR	Pirin	1.26787e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	4.28349e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	4.37548e+06
O00748	EST2_HUMAN	CES2	Cocaine esterase	4.43224e+07
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	3.05224e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	4.58967e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	5.64606e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.43083e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	5.90883e+07
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	2.02562e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	8.00428e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	2.51922e+06
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	9.45849e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	3.34308e+08
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.60291e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	7.55324e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	2.67685e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	5.24139e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.47022e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	2.92407e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1.62845e+07
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	4.5764e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	2.68513e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	7.32392e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	1.00619e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	2.8358e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.36152e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.71608e+07
O14745	NHRF1_HUMAN	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	4.7059e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	3.66211e+06
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	7.06091e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.58155e+07
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	4.01796e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.57782e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.40032e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	9.19238e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	3.35879e+06
O14896	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	1.63362e+07
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2.41192e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.37042e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	3.28324e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	7.91581e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	6.26797e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	1.85923e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.96124e+07
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	8.91952e+07
O14975	S27A2_HUMAN	SLC27A2	Long-chain fatty acid transport protein 2	6.606e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	8.46222e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.52063e+08
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.54462e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	1.23252e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	3.10107e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.00701e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.75438e+06
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	3.23915e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	1.55524e+08
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.07784e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6.00925e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	599900
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	3.08184e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	5.85584e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	6.59679e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	4.41535e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	8.2832e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	9.00528e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.65907e+08
O15155	BET1_HUMAN	BET1	BET1 homolog	6.36992e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.84371e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	1.66375e+07
O15204	ADEC1_HUMAN	ADAMDEC1	ADAM DEC1	8.93598e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	4.54557e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	2.77846e+08
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	2.4342e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	3.8736e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	2.613e+07
O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	2.42931e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	1.04798e+07
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	2.03787e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	3.24398e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	3.35655e+07
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	5.28211e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	7.08959e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	5.06552e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	4.83519e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3.45539e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	9.72247e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	3.66427e+07
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	3.4993e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	1.34041e+08
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	4.21284e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	8.01924e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	2.28361e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	7.70252e+06
O15551	CLD3_HUMAN	CLDN3	Claudin-3	1.71194e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3.08426e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	3.96854e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	2.68059e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	1.56147e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.94432e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	7.77673e+06
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	5.42484e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	3.62803e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	2.37113e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3.85948e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	2.25303e+06
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	3.3265e+07
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	5.26945e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.21894e+07
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	1.12659e+07
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	2.85841e+07
O43310	CTIF_HUMAN	CTIF	CBP80/20-dependent translation initiation factor	4.60176e+06
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	2.8304e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	3.56536e+07
O43347	MSI1H_HUMAN	MSI1	RNA-binding protein Musashi homolog 1	4.75481e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.83584e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	2.71088e+08
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	3.67776e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	3.56267e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	777222
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	3.57326e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	8.59993e+06
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	6.63463e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	5.51765e+07
O43490	PROM1_HUMAN	PROM1	Prominin-1	2.42008e+06
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	6.47255e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	3.88122e+06
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	1.67667e+07
O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	6.56236e+06
O43567	RNF13_HUMAN	RNF13	E3 ubiquitin-protein ligase RNF13	3.45598e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.87474e+07
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	1.6583e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	8.91866e+06
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	5.845e+06
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	4.64966e+07
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	3.62307e+06
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	1.05715e+07
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	3.93796e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1.49376e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	7.05363e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	3.97312e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	1.46801e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	5.74135e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	9.71511e+08
O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	1.40905e+07
O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1	4.63444e+06
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	2.82487e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	4.08474e+06
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	1.78755e+06
O43752	STX6_HUMAN	STX6	Syntaxin-6	4.67166e+06
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	3.39824e+07
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	4.56277e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	2.15155e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1.60452e+07
O43805	SSNA1_HUMAN	SSNA1	Microtubule nucleation factor SSNA1	3.48617e+06
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	2.92501e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	2.19204e+07
O43815	STRN_HUMAN	STRN	Striatin	6.20265e+06
O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	7.80385e+06
O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	1.14724e+07
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	2.66924e+07
O43847	NRDC_HUMAN	NRDC	Nardilysin	7.85897e+06
O43852	CALU_HUMAN	CALU	Calumenin	8.73971e+07
O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	3.21942e+07
O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	2.38612e+06
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	5.63525e+06
O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	1.39307e+07
O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10	5.60173e+06
O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	1.47653e+06
O60232	ZNRD2_HUMAN	ZNRD2	Protein ZNRD2	1.29708e+07
O60234	GMFG_HUMAN	GMFG	Glia maturation factor gamma	5.67238e+07
O60237	MYPT2_HUMAN	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B	3.71488e+07
O60245	PCDH7_HUMAN	PCDH7	Protocadherin-7	1.6399e+06
O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	2.43789e+06
O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	1.9656e+07
O60271	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	2.702e+07
O60306	AQR_HUMAN	AQR	RNA helicase aquarius	3.76873e+06
O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	3.9817e+07
O60333	KIF1B_HUMAN	KIF1B	Kinesin-like protein KIF1B	4.46086e+06
O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	3.24561e+06
O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	4.86122e+06
O60437	PEPL_HUMAN	PPL	Periplakin	2.03361e+09
O60443	GSDME_HUMAN	GSDME	Gasdermin-E	2.46795e+06
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	6.8181e+06
O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	5.77239e+07
O60499	STX10_HUMAN	STX10	Syntaxin-10	1.50636e+06
O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	1.46664e+07
O60504	VINEX_HUMAN	SORBS3	Vinexin	8.76703e+06
O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	1.06142e+08
O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	9.56928e+06
O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF	6.10495e+06
O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	6.42541e+07
O60563	CCNT1_HUMAN	CCNT1	Cyclin-T1	4.44087e+06
O60565	GREM1_HUMAN	GREM1	Gremlin-1	6.72085e+06
