Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\RA\work\7_1_task\TCPA\E20201002yuanch_Connie_TCPA_60minDIA_b4-6.mzML
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	2.24351e+07
O00168	PLM_HUMAN	FXYD1	Phospholemman	2.79048e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.66358e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7.72423e+06
O00182	LEG9_HUMAN	LGALS9	Galectin-9	2.02549e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.34893e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	7.18592e+06
O00194;P51159	RB27A_HUMAN;RB27B_HUMAN	RAB27A;RAB27B	Ras-related protein Rab-27B	3.75885e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	3.31724e+07
O00213	APBB1_HUMAN	APBB1	Amyloid beta precursor protein binding family B member 1	5.83596e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.37389e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	6.15327e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2.74397e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1.99288e+07
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5.19574e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	5.92709e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	8.25482e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.50708e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	3.4184e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	5.77002e+06
O00339	MATN2_HUMAN	MATN2	Matrilin-2	1.23411e+08
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	7.05518e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	7.6496e+06
O00401	WASL_HUMAN	WASL	Actin nucleation-promoting factor WASL	8.81899e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	3.75647e+07
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2.84854e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	1.07568e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2.35164e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	6.22531e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	8.05254e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	1.65871e+07
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	1.46477e+07
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	9.1709e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	1.77069e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	2.85335e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	5.30609e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.87529e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2.78161e+07
O00506	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	3.20828e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	8.01195e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	4.24253e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3.65026e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	2.26982e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	9.06153e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	6.6127e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	5.77708e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	1.19575e+07
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	9.12595e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	3.08035e+07
O14498	ISLR_HUMAN	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	2.73435e+07
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	7.30216e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	3.02764e+06
O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	3.0375e+08
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	1.10162e+07
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	4.79782e+07
O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	2.12194e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	2.23116e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	7.73923e+07
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	7.27777e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	1.15868e+07
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	2.40615e+06
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.14213e+07
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	1.31255e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	2.14507e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	3.00792e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	6.08464e+06
O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	8.36571e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.47794e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.14112e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.87357e+07
O14756	H17B6_HUMAN	HSD17B6	17-beta-hydroxysteroid dehydrogenase type 6	1.61825e+07
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.84563e+08
O14775	GNB5_HUMAN	GNB5	Guanine nucleotide-binding protein subunit beta-5	1.21684e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	9.158e+06
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	1.21925e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	9.04766e+06
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1	5.48519e+07
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	5.74628e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	1.1604e+07
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1.07072e+07
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	9.13504e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	6.29443e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	6.32725e+07
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	1.3882e+07
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	2.00601e+07
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.61049e+07
O14933	UB2L6_HUMAN	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6	6.03474e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	7.15683e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.37468e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	4.44441e+08
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	2.53368e+07
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2.49097e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	7.50122e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	1.41502e+07
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	9.86728e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	3.54735e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.97605e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	2.95685e+07
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	9.50497e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.07628e+07
O15056	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	7.40307e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	4.07638e+07
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	3.49861e+07
O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1	1.47969e+07
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	3.18301e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	1.95421e+06
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	2.31837e+07
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	4.14138e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	2.3941e+07
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.56276e+07
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	7.44058e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.4079e+08
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	2.56793e+08
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.18384e+07
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	5.10937e+07
O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	2.8431e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.91483e+07
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	2.26543e+08
O15239	NDUA1_HUMAN	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	7.90758e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	6.41342e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	6.53211e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	4.81507e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	1.16674e+07
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	2.7383e+07
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	9.4004e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	8.66977e+06
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	7.162e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3.15686e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.31337e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	5.61502e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	1.93951e+07
O15400	STX7_HUMAN	STX7	Syntaxin-7	4.05896e+07
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	1.35098e+07
O15488	GLYG2_HUMAN	GYG2	Glycogenin-2	962039
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.71724e+07
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2.14575e+08
O15530;Q6A1A2	PDPK1_HUMAN;PDPK2_HUMAN	PDPK1;PDPK2P	3-phosphoinositide-dependent protein kinase 1	2.4171e+06
O15533	TPSN_HUMAN	TAPBP	Tapasin	1.38436e+07
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	3.23505e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	3.22231e+06
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	5.83487e+06
O43150	ASAP2_HUMAN	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	1.60089e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	3.9805e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	8.04989e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	8.48696e+07
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.65277e+07
O43182	RHG06_HUMAN	ARHGAP6	Rho GTPase-activating protein 6	4.55357e+06
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	2.35255e+07
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	4.11051e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	1.78731e+07
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	6.99348e+06
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	2.63783e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	4.77491e+07
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	8.59492e+06
O43293	DAPK3_HUMAN	DAPK3	Death-associated protein kinase 3	1.83584e+07
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	1.38849e+08
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	916642
O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	1.32853e+08
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	4.05352e+06
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1.80717e+07
O43374	RASL2_HUMAN	RASA4	Ras GTPase-activating protein 4	5.85621e+06
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	5.8917e+07
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	7.61839e+07
O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	3.77704e+07
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein	5.04202e+06
O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	7.30742e+06
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1.5121e+07
O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	4.68008e+06
O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	4.80348e+07
O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	1.91322e+07
O43493	TGON2_HUMAN	TGOLN2	Trans-Golgi network integral membrane protein 2	2.5716e+06
O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	4.48441e+07
O43556	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan	8.2493e+06
O43583	DENR_HUMAN	DENR	Density-regulated protein	1.85672e+07
O43592	XPOT_HUMAN	XPOT	Exportin-T	7.79208e+06
O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	4.05526e+07
O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	1.05365e+07
O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	3.3858e+07
O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1.50215e+07
O43639	NCK2_HUMAN	NCK2	Cytoplasmic protein NCK2	5.05609e+06
O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	5.11744e+06
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	9.82879e+06
O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	1.16087e+07
O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	1.02179e+07
O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	9.06018e+06
O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	1.06511e+07
O43681	GET3_HUMAN	GET3	ATPase GET3	3.65345e+07
O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	5.64447e+07
O43692	PI15_HUMAN	PI15	Peptidase inhibitor 15	1.53429e+07
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	1.22353e+09
O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	8.9838e+06
O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	9.9682e+06
O43739;Q99418	CYH2_HUMAN;CYH3_HUMAN	CYTH2;CYTH3	Cytohesin-3	3.91296e+06
O43741	AAKB2_HUMAN	PRKAB2	5'-AMP-activated protein kinase subunit beta-2	7.25033e+06
O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	1.51926e+07
O43752	STX6_HUMAN	STX6	Syntaxin-6	3.39079e+06
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	2.23548e+07
O43772	MCAT_HUMAN	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	1.10372e+07
O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	5.21005e+07
O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1.12665e+07
O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	2.69134e+07
O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	4.94533e+07
O43815	STRN_HUMAN	STRN	Striatin	9.9336e+06
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	2.86556e+07
O43847	NRDC_HUMAN	NRDC	Nardilysin	1.24887e+07
O43852	CALU_HUMAN	CALU	Calumenin	2.59881e+08
O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	5.04158e+07
O43866	CD5L_HUMAN	CD5L	CD5 antigen-like	2.5561e+07
O43896	KIF1C_HUMAN	KIF1C	Kinesin-like protein KIF1C	1.66156e+06
