Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	661647
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	3.6265e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	2.87349e+06
O14455	RL36B_YEAST	RPL36B	60S ribosomal protein L36-B	1.06938e+08
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	3.52971e+07
O14493	CLD4_HUMAN	CLDN4	Claudin-4	1.86546e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.50574e+06
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	1.37435e+06
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	4.52719e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	3.68864e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5.05947e+07
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	4.19468e+06
O14556	G3PT_HUMAN	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	7.34472e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.40459e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6.92277e+06
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	3.53846e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	7.48277e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	9.5312e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	7.32708e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	2.73642e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	3.14833e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	2.73645e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	5.54574e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	537917
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	1.95682e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	1.27593e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	7.16364e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1.37926e+07
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	198178
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	816620
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	4.15343e+07
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.10476e+07
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	5.79631e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	2.25412e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.20733e+07
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	2.36194e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	1.94225e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	1.12097e+06
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	413234
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.33575e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.7602e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	451562
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	973815
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	2.86886e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	8.02158e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.62606e+07
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	5.53218e+07
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	572522
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	3.36264e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	406338
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	3.68222e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	2.45088e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	7.06487e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	3.74733e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.92675e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	909828
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	5.43604e+06
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	5.68503e+06
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	507720
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	1.04194e+07
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	1.36144e+07
