Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	423147
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1.40853e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5.11848e+06
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	2.98692e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	850010
A4D2G3	O2A25_HUMAN	OR2A25	Olfactory receptor 2A25	5.84738e+06
A5JYX5	DHS3_CAEEL	dhs-3	Protein dhs-3	2.95919e+06
A5JYX8	NCLN_CAEEL	nra-2	Nicalin	1.39443e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3.52839e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	2.19676e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4.10219e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.26749e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.20774e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3.32669e+06
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	1.63619e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5.57119e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	8.15987e+07
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.26581e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	1.67387e+06
A6NP11;O75346;Q15937	ZN253_HUMAN;ZN716_HUMAN;ZNF79_HUMAN	ZNF253;ZNF716;ZNF79	Zinc finger protein 716	6.98036e+06
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1.14988e+06
A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	2.32692e+06
A8MPP1;Q92771;Q96FC9	D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	DDX11;DDX11L8;DDX12P	Putative ATP-dependent RNA helicase DDX11-like protein 8	7.98993e+06
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	367674
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.44293e+08
A8WHP8	PLIN1_CAEEL	plin-1	Perilipin-1 homolog	6.16763e+06
A8WHT1	TRM5_CAEEL	C53A5.17	tRNA (guanine(37)-N1)-methyltransferase	2.14595e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	1.13023e+07
B1V8A0	SH3GH_CAEEL	unc-57	Endophilin-A homolog	5.01236e+06
B2D6K9	PPH6R_CAEEL	saps-1	Serine/threonine-protein phosphatase 6 regulatory subunit	325024
B2D6M2	LIN61_CAEEL	lin-61	Protein lin-61	1.53155e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	1.38646e+06
B4DX44	ZN736_HUMAN	ZNF736	Zinc finger protein 736	1.54289e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.06972e+06
C0HLB3;C0HLB4	VATL2_CAEEL;VATL3_CAEEL	vha-2;vha-3	V-type proton ATPase 16 kDa proteolipid subunit 2	6.31424e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2.8896e+06
C6KRN1	SAO1_CAEEL	sao-1	Suppressor of aph-1	3.69889e+06
C9JRZ8	AK1BF_HUMAN	AKR1B15	Aldo-keto reductase family 1 member B15	5.5056e+06
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	4.87404e+07
D0VWM8	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	1.33236e+06
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	5.78301e+06
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.15411e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.22718e+07
G4SLH0	TTN1_CAEEL	ttn-1	Titin homolog	7.114e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	3.37388e+06
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	1.20961e+06
G5ECM9	CPI2_CAEEL	cpi-2	Cystatin cpi-2	1.54439e+07
G5ECN9	NEC2_CAEEL	egl-3	Neuroendocrine convertase 2	2.0621e+06
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	9.43721e+06
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	6.33185e+06
G5ED29	ATX2_CAEEL	atx-2	Ataxin-2 homolog	4.15404e+06
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	1.4373e+07
G5EDM4	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	1.10875e+07
G5EDN6	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	3.00585e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.1642e+07
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	4.28959e+06
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	7.44986e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.07289e+07
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.11885e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	4.89808e+07
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	2.60097e+06
G5EES6	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	2.97586e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	1.31483e+06
G5EFF7	UBQL_CAEEL	ubql-1	Ubiquilin	9.4337e+06
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	1.02719e+06
G5EFT4	AMP1_CAEEL	ltah-1.1	Aminopeptidase ltah-1.1	2.81366e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.56007e+07
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	2.5319e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	5.63557e+06
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	1.35242e+07
G5EGI7	ZIG1_CAEEL	zig-1	Zwei Ig domain protein zig-1	1.7577e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	3.62006e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	2.34635e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	1.80026e+07
H1UBK1	MAP2_CAEEL	map-2	Methionine aminopeptidase 2	8.57357e+06
H2KYE0	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	3.45485e+06
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.0674e+07
H2KYS8	CPNA1_CAEEL	cpna-1	Copine family protein 1	870460
H2L056	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	1.75229e+06
K8ESC5	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	858155
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3.77331e+06
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1.3237e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5.31151e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.47423e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	4.02446e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	4.51632e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9.05579e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9.25142e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	8.42645e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5.12318e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1.31843e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.00197e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	3.78774e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1.79176e+07
O00193	SMAP_HUMAN	SMAP	Small acidic protein	6.11711e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	948357
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	7.89876e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	9.77284e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.82823e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.79329e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8.86763e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	9.90816e+06
O00255	MEN1_HUMAN	MEN1	Menin	1.77483e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	2.74077e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.44224e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.01254e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.14849e+07
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	159812
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	494830
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.43264e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1.98882e+07
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	8.77458e+06
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	5.03579e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	2.43434e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	2.89933e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.78133e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2.49618e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	9.06817e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	3.8095e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.41038e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	2.97342e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	1.48343e+06
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.70775e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	1.40588e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	6.03261e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.92498e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	5.56596e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3.10058e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	2.42624e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	1.91469e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	5.95187e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	2.56724e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.29089e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2.97586e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	1.30661e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6.75971e+06
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	5.46244e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	6.82215e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.16702e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	3.23622e+07
O00625	PIR_HUMAN	PIR	Pirin	2.51969e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	9.10132e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1.76782e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	4.61623e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	1.68321e+06
O00757;P09201;P09467	F16P1_HUMAN;F16P2_HUMAN;F16P_YEAST	FBP1;FBP2	Fructose-1,6-bisphosphatase isozyme 2	6.21069e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	6.06798e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.57392e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	2.09215e+07
O01159	RSP7_CAEEL	rsp-7	Probable splicing factor, arginine/serine-rich 7	905334
O01422	CSN2_CAEEL	csn-2	COP9 signalosome complex subunit 2	3.20864e+06
O01479	TMOD_CAEEL	unc-94	Tropomodulin	1.52548e+06
O01498	STAM1_CAEEL	stam-1	Signal transducing adapter molecule 1	849506
O01504	RLA2_CAEEL	C37A2.7	60S acidic ribosomal protein P2	2.04965e+08
O01530	ASP6_CAEEL	asp-6	Aspartic protease 6	4.21845e+07
O01541	SYAC_CAEEL	aars-2	Alanine--tRNA ligase, cytoplasmic	9.04399e+06
O01578	MPC2_CAEEL	mpc-2	Probable mitochondrial pyruvate carrier 2	7.10865e+06
O01592	CYSK3_CAEEL	cysl-3	Cysteine synthase 3	5.39695e+06
O01615	AN322_CAEEL	T19H12.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2	1.03701e+07
O01634	INX12_CAEEL	inx-12	Innexin-12	2.29453e+06
O01658	NO66_CAEEL	jmjc-1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	410439
O01683;P41848	SSP1A_CAEEL;SSP1B_CAEEL	hmg-3;hmg-4	FACT complex subunit ssrp1-B	831979
O01692	RS17_CAEEL	rps-17	40S ribosomal protein S17	9.75331e+07
O01761	UNC89_CAEEL	unc-89	Muscle M-line assembly protein unc-89	4.1197e+07
O01789	SMC1_CAEEL	him-1	Structural maintenance of chromosomes protein 1	1.19391e+06
O01802	RL7_CAEEL	rpl-7	60S ribosomal protein L7	1.12513e+08
O01803	RB11A_CAEEL	rab-11.1	Ras-related protein rab-11.1	1.11234e+07
O01805	ACBP1_CAEEL	acbp-1	Acyl-CoA-binding protein homolog 1	8.04446e+07
O01812	FABP6_CAEEL	lbp-6	Fatty acid-binding protein homolog 6	1.08436e+08
O01814	FABP5_CAEEL	lbp-5	Fatty acid-binding protein homolog 5	1.37223e+07
O01824	PDXK_CAEEL	pdxk-1	Putative pyridoxal kinase	1.35336e+06
O01829;Q21289	SSP10_CAEEL;SSP19_CAEEL	ssp-10;ssp-19	Sperm-specific class P protein 19	2.55105e+06
O01868	RL24_CAEEL	rpl-24.1	60S ribosomal protein L24	4.9533e+07
O01884	COQ6_CAEEL	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	505728
O01925	MBOA5_CAEEL	mboa-6	Lysophospholipid acyltransferase 5	377298
O01971	EMR1_CAEEL	emr-1	Emerin homolog 1	1.35616e+06
O01974	EIF3H_CAEEL	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	1.13544e+07
O02056	RL4_CAEEL	rpl-4	60S ribosomal protein L4	1.66116e+08
O02108	CDC37_CAEEL	cdc-37	Probable Hsp90 co-chaperone cdc37	6.73478e+06
O02115	PCNA_CAEEL	pcn-1	Proliferating cell nuclear antigen	8.24008e+06
O02161	TIM44_CAEEL	tin-44	Probable mitochondrial import inner membrane translocase subunit tin-44	2.31608e+06
O02323	FABP7_CAEEL	lbp-7	Fatty acid-binding protein homolog 7	6.66098e+06
O02328	EIF3C_CAEEL	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	1.54456e+07
O02365	IFA2_CAEEL	mua-6	Intermediate filament protein ifa-2	2.49469e+07
O02485	YDJ1_CAEEL	ZK1073.1	Uncharacterized protein ZK1073.1	4.62836e+06
O02495	SYB1_CAEEL	snb-1	Synaptobrevin-1	5.20632e+06
O02621	GPX1_CAEEL	gpx-1	Glutathione peroxidase 1	2.05892e+06
O02639	RL19_CAEEL	rpl-19	60S ribosomal protein L19	6.92362e+07
O02640	MDHM_CAEEL	mdh-2	Probable malate dehydrogenase, mitochondrial	1.58682e+08
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	2.21753e+06
O13516	RS9A_YEAST	RPS9A	40S ribosomal protein S9-A	9.18412e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	799806
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	4.5277e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	3.62487e+06
O14455	RL36B_YEAST	RPL36B	60S ribosomal protein L36-B	1.10472e+08
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	6.37168e+07
O14493	CLD4_HUMAN	CLDN4	Claudin-4	4.82448e+06
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	1.12645e+06
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	8.49363e+06
O14521	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	4.42069e+06
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	5.69376e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	1.72625e+07
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	4.64695e+06
O14556	G3PT_HUMAN	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	5.10864e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2.32695e+07
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6.26504e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1.18743e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	1.24099e+07
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6.00844e+06
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	5.91029e+06
O14641;Q92997	DVL2_HUMAN;DVL3_HUMAN	DVL2;DVL3	Segment polarity protein dishevelled homolog DVL-2	579936
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	2.59955e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	4.1121e+06
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	679115
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	870422
O14662	STX16_HUMAN	STX16	Syntaxin-16	859433
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	4.86258e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	1.01774e+07
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	3.10225e+07
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	1.66852e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	5.2593e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	3.2245e+07
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	2.02833e+07
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.99074e+07
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	778455
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	1.77148e+06
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	288422
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	1.13963e+07
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	2.49584e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	4.41236e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	2.05106e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	5.18141e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	2.38365e+07
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	2.69048e+07
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	1.16189e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1.14689e+06
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	3.68612e+06
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	1.74121e+06
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	1.46113e+07
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	3.29925e+06
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2.172e+07
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	2.51683e+07
O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	501076
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	5.73072e+06
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	5.62821e+06
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	8.67446e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	1.07554e+07
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	2.2137e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	4.63431e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	2.132e+07
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	2.12145e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	1.22389e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	8.39164e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	3.78586e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	1.3486e+07
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	1.35158e+06
O15061	SYNEM_HUMAN	SYNM	Synemin	1.8259e+06
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.79407e+07
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	741435
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1.16582e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	718677
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	1.86477e+06
O15119	TBX3_HUMAN	TBX3	T-box transcription factor TBX3	3.6486e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	3.35061e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	4.1084e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2.27326e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.40557e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.17307e+07
